|Concept|Class
0|Antibiotic|http://dbpedia.org/resource/Category:Anti-infective_agents
1|Antibiotic|http://dbpedia.org/resource/Category:Antibiotics
2|Antibiotic|http://dbpedia.org/resource/Category:Bactericides
3|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Veterinary_medicine
4|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Global_issues
5|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Health_disasters
6|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Pharmaceuticals_policy
7|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Evolutionary_biology
8|Antimicrobial_resistance|http://dbpedia.org/resource/Category:Antimicrobial_resistance
9|Ape|http://dbpedia.org/resource/Category:Apes
10|Ape|http://dbpedia.org/resource/Category:Extant_Chattian_first_appearances
11|Ape|http://dbpedia.org/resource/Category:Taxa_named_by_John_Edward_Gray
12|Bacteria|http://dbpedia.org/resource/Category:Domains_(biology)
13|Bacteria|http://dbpedia.org/resource/Category:Bacteria
14|Bacteria|http://dbpedia.org/resource/Category:Bacteriology
15|DNA|http://dbpedia.org/resource/Category:Biotechnology
16|DNA|http://dbpedia.org/resource/Category:DNA
17|DNA|http://dbpedia.org/resource/Category:Helices
18|DNA|http://dbpedia.org/resource/Category:Nucleic_acids
19|Immune_system|http://dbpedia.org/resource/Category:Immune_system
20|Industrial_Revolution|http://dbpedia.org/resource/Category:Early_Modern_Britain
21|Industrial_Revolution|http://dbpedia.org/resource/Category:Industrial_history
22|Industrial_Revolution|http://dbpedia.org/resource/Category:Late_modern_Europe
23|Industrial_Revolution|http://dbpedia.org/resource/Category:Industrial_Revolution
24|Industrial_Revolution|http://dbpedia.org/resource/Category:19th_century_in_technology
25|Industrial_Revolution|http://dbpedia.org/resource/Category:History_of_technology
26|Industrial_Revolution|http://dbpedia.org/resource/Category:Age_of_Revolution
27|Industrial_Revolution|http://dbpedia.org/resource/Category:Modern_history_of_the_United_Kingdom
28|Industrial_Revolution|http://dbpedia.org/resource/Category:Stages_of_history
29|Industrial_Revolution|http://dbpedia.org/resource/Category:Revolutions_by_type
30|Industrial_Revolution|http://dbpedia.org/resource/Category:18th_century_in_technology
31|Moth|http://dbpedia.org/resource/Category:Household_pest_insects
32|Moth|http://dbpedia.org/resource/Category:Paraphyletic_groups
33|Moth|http://dbpedia.org/resource/Category:Moths
34|Moth|http://dbpedia.org/resource/Category:Agricultural_pest_insects
35|Natural_selection|http://dbpedia.org/resource/Category:Biological_interactions
36|Natural_selection|http://dbpedia.org/resource/Category:Competition
37|Natural_selection|http://dbpedia.org/resource/Category:Charles_Darwin
38|Natural_selection|http://dbpedia.org/resource/Category:Selection
39|Natural_selection|http://dbpedia.org/resource/Category:Sexual_selection
40|Natural_selection|http://dbpedia.org/resource/Category:Ethology
41|Natural_selection|http://dbpedia.org/resource/Category:Ecological_processes
42|Natural_selection|http://dbpedia.org/resource/Category:Evolution
43|Natural_selection|http://dbpedia.org/resource/Category:Evolutionary_biology
44|Natural_selection|http://dbpedia.org/resource/Category:Natural_selection
45|Peppered_moth|http://dbpedia.org/resource/Category:Peppered_moth
46|Peppered_moth|http://dbpedia.org/resource/Category:Moths_of_Asia
47|Peppered_moth|http://dbpedia.org/resource/Category:Moths_of_North_America
48|Peppered_moth|http://dbpedia.org/resource/Category:Taxa_named_by_Carl_Linnaeus
49|Peppered_moth|http://dbpedia.org/resource/Category:Moths_described_in_1758
50|Peppered_moth|http://dbpedia.org/resource/Category:Moths_of_Europe
51|Virus|http://dbpedia.org/resource/Category:Pandemics
52|Virus|http://dbpedia.org/resource/Category:Epidemiology
53|Virus|http://dbpedia.org/resource/Category:Viruses
54|Virus|http://dbpedia.org/resource/Category:1898_in_biology
55|Virus|http://dbpedia.org/resource/Category:Zoonoses
56|Virus|http://dbpedia.org/resource/Category:Global_health
57|Virus|http://dbpedia.org/resource/Category:Infectious_diseases
58|Virus|http://dbpedia.org/resource/Category:Virology
59|Virus|http://dbpedia.org/resource/Category:Medical_tests
60|Art|http://dbpedia.org/resource/Category:Aesthetics
61|Art|http://dbpedia.org/resource/Category:The_arts
62|Art|http://dbpedia.org/resource/Category:Visual_arts
63|Art|http://dbpedia.org/resource/Category:Art
64|Binomial_nomenclature|http://dbpedia.org/resource/Category:Biological_nomenclature
65|Chimpanzee|http://dbpedia.org/resource/Category:Tool-using_mammals
66|Chimpanzee|http://dbpedia.org/resource/Category:Primates_of_Africa
67|Chimpanzee|http://dbpedia.org/resource/Category:Articles_containing_video_clips
68|Chimpanzee|http://dbpedia.org/resource/Category:Chimpanzees
69|Chimpanzee|http://dbpedia.org/resource/Category:Extant_Pliocene_first_appearances
70|Chimpanzee|http://dbpedia.org/resource/Category:Mammals_described_in_1775
71|Chimpanzee|http://dbpedia.org/resource/Category:Fauna_of_Sub-Saharan_Africa
72|Chimpanzee|http://dbpedia.org/resource/Category:Taxa_named_by_Johann_Friedrich_Blumenbach
73|Common_name|http://dbpedia.org/resource/Category:Biological_nomenclature
