|Concept|Class
0|Antibiotic|http://www.w3.org/2002/07/owl#Thing
1|Antimicrobial_resistance|http://www.w3.org/2002/07/owl#Thing
2|Antimicrobial_resistance|http://dbpedia.org/ontology/MilitaryConflict
3|Ape|http://www.w3.org/2002/07/owl#Thing
4|Ape|http://dbpedia.org/ontology/Organisation
5|Bacteria|http://www.w3.org/2002/07/owl#Thing
6|DNA|http://www.w3.org/2002/07/owl#Thing
7|DNA|http://dbpedia.org/ontology/Band
8|DNA|http://dbpedia.org/ontology/ChemicalCompound
9|Immune_system|http://www.w3.org/2002/07/owl#Thing
10|Industrial_Revolution|http://www.w3.org/2002/07/owl#Thing
11|Industrial_Revolution|http://dbpedia.org/ontology/LacrossePlayer
12|Industrial_Revolution|http://dbpedia.org/ontology/PersonFunction
13|Moth|http://www.w3.org/2002/07/owl#Thing
14|Natural_selection|http://www.w3.org/2002/07/owl#Thing
15|Natural_selection|http://dbpedia.org/ontology/VideoGame
16|Peppered_moth|http://dbpedia.org/ontology/Eukaryote
17|Virus|http://www.w3.org/2002/07/owl#Thing
18|Virus|http://dbpedia.org/ontology/Animal
19|Virus|http://dbpedia.org/ontology/Disease
20|Art|http://www.w3.org/2002/07/owl#Thing
21|Art|http://dbpedia.org/ontology/MusicGenre
22|Binomial_nomenclature|http://www.w3.org/2002/07/owl#Thing
23|Chimpanzee|http://www.w3.org/2002/07/owl#Thing
24|Chimpanzee|http://dbpedia.org/ontology/Insect
25|Common_name|http://www.w3.org/2002/07/owl#Thing
26|Eponym|http://www.w3.org/2002/07/owl#Thing
27|Eponym|http://dbpedia.org/ontology/Person
28|Evolution|http://www.w3.org/2002/07/owl#Thing
29|Evolution|http://dbpedia.org/ontology/Organisation
30|Feeling|http://www.w3.org/2002/07/owl#Thing
31|Gibbon|http://www.w3.org/2002/07/owl#Thing
32|Gibbon|http://dbpedia.org/ontology/Mammal
33|Gorilla|http://www.w3.org/2002/07/owl#Thing
34|Great_cormorant|http://www.w3.org/2002/07/owl#Thing
35|Great_cormorant|http://dbpedia.org/ontology/Person
36|Hominidae|http://www.w3.org/2002/07/owl#Thing
37|Human|http://www.w3.org/2002/07/owl#Thing
38|Justice|http://www.w3.org/2002/07/owl#Thing
39|Justice|http://dbpedia.org/ontology/Work
40|Justice|http://dbpedia.org/ontology/OfficeHolder
41|Object_(philosophy)|http://www.w3.org/2002/07/owl#Thing
42|Ontology|http://www.w3.org/2002/07/owl#Thing
43|Ontology|http://dbpedia.org/ontology/Book
44|Ontology|http://dbpedia.org/ontology/MusicGenre
45|Order_(biology)|http://www.w3.org/2002/07/owl#Thing
46|Order_(biology)|http://dbpedia.org/ontology/Plant
47|Primate|http://www.w3.org/2002/07/owl#Thing
48|Primate|http://dbpedia.org/ontology/Mammal
49|Rights|http://www.w3.org/2002/07/owl#Thing
50|Sense|http://www.w3.org/2002/07/owl#Thing
51|Sense|http://dbpedia.org/ontology/ArchitecturalStructure
52|Tail|http://dbpedia.org/ontology/Settlement
53|Tao|http://www.w3.org/2002/07/owl#Thing
54|Video|http://www.w3.org/2002/07/owl#Thing
55|Video|http://dbpedia.org/ontology/MusicGenre
56|Forgiveness|http://www.w3.org/2002/07/owl#Thing
57|Forgiveness|http://dbpedia.org/ontology/Election
58|Fractal|http://www.w3.org/2002/07/owl#Thing
59|Fractal|http://dbpedia.org/ontology/Disease
60|Fractal|http://dbpedia.org/ontology/MusicGenre
61|God|http://www.w3.org/2002/07/owl#Thing
62|God|http://dbpedia.org/ontology/Person
63|Godless_(miniseries)|http://www.w3.org/2002/07/owl#Thing
64|Godless_(miniseries)|http://schema.org/CreativeWork
65|Godless_(miniseries)|http://dbpedia.org/ontology/Work
66|Godless_(miniseries)|http://dbpedia.org/ontology/TelevisionShow
67|Idea|http://www.w3.org/2002/07/owl#Thing
68|Idea|http://dbpedia.org/ontology/MusicGenre
69|Intelligent_design|http://www.w3.org/2002/07/owl#Thing
70|Intelligent_design|http://dbpedia.org/ontology/Company
71|Liberty|http://www.w3.org/2002/07/owl#Thing
72|Mind|http://www.w3.org/2002/07/owl#Thing
73|Randomness|http://www.w3.org/2002/07/owl#Thing
74|Randomness|http://dbpedia.org/ontology/Disease
75|Speech|http://www.w3.org/2002/07/owl#Thing
76|Speech|http://dbpedia.org/ontology/University
77|Syncretism|http://www.w3.org/2002/07/owl#Thing
78|Universe|http://www.w3.org/2002/07/owl#Thing
79|Video_game|http://www.w3.org/2002/07/owl#Thing
80|Video_game|http://dbpedia.org/ontology/VideoGame
81|Video_game|http://dbpedia.org/ontology/MusicGenre
82|Gene|http://www.w3.org/2002/07/owl#Thing
83|Gene|http://dbpedia.org/ontology/Organisation
84|Kublai_Khan|http://www.w3.org/2002/07/owl#Thing
85|Kublai_Khan|http://xmlns.com/foaf/0.1/Person
86|Kublai_Khan|http://dbpedia.org/ontology/Person
87|Kublai_Khan|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson
88|Kublai_Khan|http://dbpedia.org/ontology/Animal
