OER|Concept|PR
0|http://en.wikipedia.org/wiki/Antibiotic|0.01807812
0|http://en.wikipedia.org/wiki/Antimicrobial_resistance|0.005756991
0|http://en.wikipedia.org/wiki/Ape|0.005058385
0|http://en.wikipedia.org/wiki/Bacteria|0.02297845
0|http://en.wikipedia.org/wiki/DNA|0.007154388
0|http://en.wikipedia.org/wiki/Immune_system|0.007827974
0|http://en.wikipedia.org/wiki/Industrial_Revolution|0.005620601
0|http://en.wikipedia.org/wiki/Moth|0.0328408
0|http://en.wikipedia.org/wiki/Natural_selection|0.007998464
0|http://en.wikipedia.org/wiki/Natural_selection|0.01343057
0|http://en.wikipedia.org/wiki/Peppered_moth|0.01059875
0|http://en.wikipedia.org/wiki/Virus|0.0079963
1|http://en.wikipedia.org/wiki/Ape|0.03960746
1|http://en.wikipedia.org/wiki/Art|0.0085902
1|http://en.wikipedia.org/wiki/Binomial_nomenclature|0.007572689
1|http://en.wikipedia.org/wiki/Chimpanzee|0.01581066
1|http://en.wikipedia.org/wiki/Common_name|0.0066625
1|http://en.wikipedia.org/wiki/Eponym|0.005802126
1|http://en.wikipedia.org/wiki/Evolution|0.01392771
1|http://en.wikipedia.org/wiki/Feeling|0.007829612
1|http://en.wikipedia.org/wiki/Gibbon|0.02841473
1|http://en.wikipedia.org/wiki/Gorilla|0.01545499
1|http://en.wikipedia.org/wiki/Great_cormorant|0.005114825
1|http://en.wikipedia.org/wiki/Hominidae|0.03676501
1|http://en.wikipedia.org/wiki/Human|0.01412243
1|http://en.wikipedia.org/wiki/Justice|0.005502132
1|http://en.wikipedia.org/wiki/Object_(philosophy)|0.005451142
1|http://en.wikipedia.org/wiki/Ontology|0.007946724
1|http://en.wikipedia.org/wiki/Order_(biology)|0.00783115
1|http://en.wikipedia.org/wiki/Phenotypic_trait|0.008135597
1|http://en.wikipedia.org/wiki/Primate|0.0153923
1|http://en.wikipedia.org/wiki/Rights|0.007395702
1|http://en.wikipedia.org/wiki/Sense|0.009564152
1|http://en.wikipedia.org/wiki/Tail|0.008823256
1|http://en.wikipedia.org/wiki/Tao|0.005367688
1|http://en.wikipedia.org/wiki/Video|0.005124639
2|http://en.wikipedia.org/wiki/%2eso|0.008133703
2|http://en.wikipedia.org/wiki/Evolution|0.02016156
2|http://en.wikipedia.org/wiki/Forgiveness|0.006090533
2|http://en.wikipedia.org/wiki/Fractal|0.006630699
2|http://en.wikipedia.org/wiki/God|0.01800866
2|http://en.wikipedia.org/wiki/Godless_(miniseries)|0.08623798
2|http://en.wikipedia.org/wiki/Idea|0.007723826
2|http://en.wikipedia.org/wiki/Intelligent_design|0.008873249
2|http://en.wikipedia.org/wiki/Justice|0.01960644
2|http://en.wikipedia.org/wiki/Liberty|0.007452813
2|http://en.wikipedia.org/wiki/Mandelbrot_set|0.01223332
2|http://en.wikipedia.org/wiki/Mind|0.01122682
2|http://en.wikipedia.org/wiki/Natural_selection|0.01343253
2|http://en.wikipedia.org/wiki/Randomness|0.02540971
2|http://en.wikipedia.org/wiki/Speech|0.007336618
2|http://en.wikipedia.org/wiki/Syncretism|0.008510508
2|http://en.wikipedia.org/wiki/Universe|0.0194879
2|http://en.wikipedia.org/wiki/Video_game|0.00685532
3|http://en.wikipedia.org/wiki/Evolution|0.006834188
3|http://en.wikipedia.org/wiki/Gene|0.006405108
3|http://en.wikipedia.org/wiki/Intelligent_design|0.02503202
3|http://en.wikipedia.org/wiki/Kublai_Khan|0.005062647
3|http://en.wikipedia.org/wiki/Natural_selection|0.01520861
