Eid|Sid|Course Number|Number In Series|N In Series|Title|Date|Url|Ressources|Description|Video|Corpus
0|0|PL7A9646BC5110CF64|Lecture1|0|Biology|2009-09-21T18:01:20Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|GcjgWov7mTM|Khan Academy
1|0|PL7A9646BC5110CF64|Lecture2|1|Biology|2011-03-17T17:30:56Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|oFGkYA_diDA|Khan Academy
2|0|PL7A9646BC5110CF64|Lecture3|2|Biology|2009-09-21T19:39:37Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|qxOEz9aPZNY|Khan Academy
3|0|PL7A9646BC5110CF64|Lecture4|3|Biology|2009-09-24T00:02:04Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|nh1R-gyY7es|Khan Academy
4|0|PL7A9646BC5110CF64|Lecture5|4|Biology|2009-09-21T20:41:30Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|dR_BFmDMRaI|Khan Academy
5|0|PL7A9646BC5110CF64|Lecture6|5|Biology|2009-09-22T18:22:09Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|_-vZ_g7K6P0|Khan Academy
6|0|PL7A9646BC5110CF64|Lecture7|6|Biology|2009-09-23T19:58:07Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|DuArVnT1i-E|Khan Academy
7|0|PL7A9646BC5110CF64|Lecture8|7|Biology|2009-09-23T20:57:42Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|s9HPNwXd9fk|Khan Academy
8|0|PL7A9646BC5110CF64|Lecture9|8|Biology|2009-09-23T22:11:31Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|kaSIjIzAtYA|Khan Academy
9|0|PL7A9646BC5110CF64|Lecture10|9|Biology|2009-09-24T15:47:09Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|LLKX_4DHE3I|Khan Academy
10|0|PL7A9646BC5110CF64|Lecture11|10|Biology|2009-09-24T18:45:24Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Covers topics seen in a first year college or high school biology course.|ijLc52LmFQg|Khan Academy
