Sid|Category|Course Number|Serie Name|Professor Name|Date|Url|Corpus|Description
0|Biology|PL7A9646BC5110CF64|Biology||2009-09-22T18:25:07Z|https://www.youtube.com/playlist?list=PL7A9646BC5110CF64|Khan Academy|Covers topics seen in a first year college or high school biology course.
1|Economics|PLSQl0a2vh4HDERCw_ddanXbsDpFWcpL-S|Intro to Economics||2019-04-01T15:38:08Z|https://www.youtube.com/playlist?list=PLSQl0a2vh4HDERCw_ddanXbsDpFWcpL-S|Khan Academy|Learning Objectives  Learning Objectives  1. How the scarcity of economic resources leads to tradeoffs.  2. How to use the concept of comparative advantage to demonstrate the potential for gains from trade.  3. How to use the market model to illustrate supply, demand, and price determination.  Whether you're brand new to the field of economics, or just want to brush up on some foundational ideas, this course will cover all of the topics typically found in the first unit of an introductory economics course.  To explore our full introduction to economics unit, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain/ap-microeconomics/basic-economic-concepts  To explore our full courses in economics and finance, visit Khan Academy: https://www.khanacademy.org/economics-finance-domain
2|Maths|PLFD0EB975BA0CC1E0|Linear Algebra||2008-06-08T03:32:44Z|https://www.youtube.com/playlist?list=PLFD0EB975BA0CC1E0|Khan Academy|Matrices, vectors, vector spaces, transformations.  Covers all topics in a first year college linear algebra course.  This is an advanced course normally taken by science or engineering majors after taking at least two semesters of calculus (although calculus really isn't a prereq) so don't confuse this with regular high school algebra.
3|Maths|PLSQl0a2vh4HDCasLssY8bUV2qwDkZeOYL|Introduction to Euclidean geometry , Geometry , Khan Academy||2018-07-05T20:57:19Z|https://www.youtube.com/playlist?list=PLSQl0a2vh4HDCasLssY8bUV2qwDkZeOYL|Khan Academy|
4|Maths|PLD6DA74C1DBF770E7|Trigonometry||2007-10-28T16:41:20Z|https://www.youtube.com/playlist?list=PLD6DA74C1DBF770E7|Khan Academy|"Videos on trigonometry.  Watch the ""Geometry"" playlist first if you have trouble understanding the topics covered here."
5|Maths|PL1328115D3D8A2566|Statistics||2009-02-16T06:15:32Z|https://www.youtube.com/playlist?list=PL1328115D3D8A2566|Khan Academy|Introduction to statistics.  Will eventually cover all of the major topics in a first-year statistics course (not there yet!)
6|Maths|PLC58778F28211FA19|Probability||2008-05-03T19:35:49Z|https://www.youtube.com/playlist?list=PLC58778F28211FA19|Khan Academy|Basic probability.  Should have a reasonable grounding in basic algebra before watching.
7|Maths|PLE88E3C9C7791BD2D|Precalculus||2007-10-20T22:00:30Z|https://www.youtube.com/playlist?list=PLE88E3C9C7791BD2D|Khan Academy|"Non-trigonometry pre-calculus topics.  Solid understanding of all of the topics in the ""Algebra"" playlist should make this playlist pretty digestible."
8|Chemistry|PL166048DD75B05C0D|Chemistry||2009-08-25T22:23:51Z|https://www.youtube.com/playlist?list=PL166048DD75B05C0D|Khan Academy|Videos on chemistry (roughly covering a first-year high school or college course).
9|Electrical engineering|PLSQl0a2vh4HCLqA-rhMi_Z_WnBkD3wUka|Electrical engineering||2016-06-17T23:04:03Z|https://www.youtube.com/playlist?list=PLSQl0a2vh4HCLqA-rhMi_Z_WnBkD3wUka|Khan Academy|
10|Physics|PLAD5B880806EBE0A4|Physics||2007-11-02T05:29:54Z|https://www.youtube.com/playlist?list=PLAD5B880806EBE0A4|Khan Academy|Projectile motion, mechanics and electricity and magnetism.  Solid understanding of algebra and a basic understanding of trigonometry necessary.
11|Healthcare and Medicine |PL01AEFFF7C4C3C881|Healthcare and Medicine||2011-10-04T14:30:11Z|https://www.youtube.com/playlist?list=PL01AEFFF7C4C3C881|Khan Academy|Videos about medicine and the healthcare system
12|Cosmology and astronomy|PL2186CFB2CE12A8B5|Cosmology and Astronomy||2010-11-16T22:31:25Z|https://www.youtube.com/playlist?list=PL2186CFB2CE12A8B5|Khan Academy|"Videos attempting to grasp a little bit about our Universe (many of the topics associated with ""Big History"")"
13|History|PLSQl0a2vh4HB9UeibLURBlcdR4XzputM9|World History||2017-01-26T01:30:04Z|https://www.youtube.com/playlist?list=PLSQl0a2vh4HB9UeibLURBlcdR4XzputM9|Khan Academy|
14|Music|PLSQl0a2vh4HDFvmGd8eL5PJusJqrNZ0ge|Music basics , Music , Khan Academy||2018-07-16T20:45:00Z|https://www.youtube.com/playlist?list=PLSQl0a2vh4HDFvmGd8eL5PJusJqrNZ0ge|Khan Academy|
