|Concept|Class
0|Absolute_value|http://dbpedia.org/resource/Category:Real_numbers
1|Absolute_value|http://dbpedia.org/resource/Category:Norms_(mathematics)
2|Absolute_value|http://dbpedia.org/resource/Category:Special_functions
3|Cauchy_sequence|http://dbpedia.org/resource/Category:Sequences_and_series
4|Cauchy_sequence|http://dbpedia.org/resource/Category:Topology
5|Cauchy_sequence|http://dbpedia.org/resource/Category:Abstract_algebra
6|Cauchy_sequence|http://dbpedia.org/resource/Category:Convergence_(mathematics)
7|Cauchy_sequence|http://dbpedia.org/resource/Category:Metric_geometry
8|Cauchy_sequence|http://dbpedia.org/resource/Category:Augustin-Louis_Cauchy
9|Continuous_function|http://dbpedia.org/resource/Category:Types_of_functions
10|Continuous_function|http://dbpedia.org/resource/Category:Calculus
11|Continuous_function|http://dbpedia.org/resource/Category:Continuous_mappings
12|Derivative|http://dbpedia.org/resource/Category:Linear_operators_in_calculus
13|Derivative|http://dbpedia.org/resource/Category:Rates
14|Derivative|http://dbpedia.org/resource/Category:Differential_calculus
15|Derivative|http://dbpedia.org/resource/Category:Functions_and_mappings
16|Derivative|http://dbpedia.org/resource/Category:Mathematical_analysis
17|Derivative|http://dbpedia.org/resource/Category:Change
18|Differentiable_function|http://dbpedia.org/resource/Category:Differential_calculus
19|Differentiable_function|http://dbpedia.org/resource/Category:Smooth_functions
20|Differentiable_function|http://dbpedia.org/resource/Category:Multivariable_calculus
21|Euclidean_distance|http://dbpedia.org/resource/Category:Length
22|Euclidean_distance|http://dbpedia.org/resource/Category:Pythagorean_theorem
23|Euclidean_distance|http://dbpedia.org/resource/Category:Distance
24|Euclidean_distance|http://dbpedia.org/resource/Category:Metric_geometry
25|Euclidean_space|http://dbpedia.org/resource/Category:Euclidean_geometry
26|Euclidean_space|http://dbpedia.org/resource/Category:Topological_spaces
27|Euclidean_space|http://dbpedia.org/resource/Category:Linear_algebra
28|Euclidean_space|http://dbpedia.org/resource/Category:Norms_(mathematics)
29|Extreme_value_theorem|http://dbpedia.org/resource/Category:Articles_containing_proofs
30|Extreme_value_theorem|http://dbpedia.org/resource/Category:Theorems_in_real_analysis
31|Extreme_value_theorem|http://dbpedia.org/resource/Category:Theorems_in_calculus
32|Functional_analysis|http://dbpedia.org/resource/Category:Functional_analysis
33|Infimum_and_supremum|http://dbpedia.org/resource/Category:Order_theory
34|Interval_(mathematics)|http://dbpedia.org/resource/Category:Order_theory
35|Interval_(mathematics)|http://dbpedia.org/resource/Category:Topology
36|Interval_(mathematics)|http://dbpedia.org/resource/Category:Sets_of_real_numbers
37|Linear_algebra|http://dbpedia.org/resource/Category:Linear_algebra
38|Linear_algebra|http://dbpedia.org/resource/Category:Numerical_analysis
39|Lp_space|http://dbpedia.org/resource/Category:Banach_spaces
40|Lp_space|http://dbpedia.org/resource/Category:Function_spaces
41|Lp_space|http://dbpedia.org/resource/Category:Normed_spaces
42|Lp_space|http://dbpedia.org/resource/Category:Mathematical_series
43|Lp_space|http://dbpedia.org/resource/Category:Measure_theory
44|Metric_space|http://dbpedia.org/resource/Category:Uniform_spaces
45|Metric_space|http://dbpedia.org/resource/Category:Topological_spaces
46|Metric_space|http://dbpedia.org/resource/Category:Mathematical_structures
47|Metric_space|http://dbpedia.org/resource/Category:Topology
48|Metric_space|http://dbpedia.org/resource/Category:Metric_spaces
49|Metric_space|http://dbpedia.org/resource/Category:Mathematical_analysis
50|Open_set|http://dbpedia.org/resource/Category:General_topology
51|Proof_by_contradiction|http://dbpedia.org/resource/Category:Methods_of_proof
