|Concept|Class
0|Absolute_value|http://www.w3.org/2002/07/owl#Thing
1|Absolute_value|http://dbpedia.org/ontology/Company
2|Continuous_function|http://www.w3.org/2002/07/owl#Thing
3|Derivative|http://www.w3.org/2002/07/owl#Thing
4|Derivative|http://dbpedia.org/ontology/RaceHorse
5|Differentiable_function|http://www.w3.org/2002/07/owl#Thing
6|Differentiable_function|http://dbpedia.org/ontology/Disease
7|Euclidean_space|http://www.w3.org/2002/07/owl#Thing
8|Functional_analysis|http://www.w3.org/2002/07/owl#Thing
9|Functional_analysis|http://dbpedia.org/ontology/Organisation
10|Infimum_and_supremum|http://dbpedia.org/ontology/MilitaryUnit
11|Linear_algebra|http://www.w3.org/2002/07/owl#Thing
12|Linear_algebra|http://dbpedia.org/ontology/Organisation
13|Linear_algebra|http://dbpedia.org/ontology/MusicGenre
14|Lp_space|http://www.w3.org/2002/07/owl#Thing
15|Lp_space|http://dbpedia.org/ontology/AnatomicalStructure
16|Metric_space|http://www.w3.org/2002/07/owl#Thing
17|Open_set|http://www.w3.org/2002/07/owl#Thing
18|Proof_by_contradiction|http://www.w3.org/2002/07/owl#Thing
19|Real_analysis|http://dbpedia.org/ontology/Organisation
20|Real_number|http://www.w3.org/2002/07/owl#Thing
21|Riemann_integral|http://dbpedia.org/ontology/VideoGame
22|Smoothness|http://dbpedia.org/ontology/Building
23|Triangle_inequality|http://www.w3.org/2002/07/owl#Thing
24|Vector_space|http://www.w3.org/2002/07/owl#Thing
25|Vector_space|http://dbpedia.org/ontology/Book
26|Accumulation_point|http://www.w3.org/2002/07/owl#Thing
27|Limit_of_a_sequence|http://www.w3.org/2002/07/owl#Thing
28|Set-theoretic_definition_of_natural_numbers|http://www.w3.org/2002/07/owl#Thing
29|Set_theory|http://www.w3.org/2002/07/owl#Thing
30|Set_theory|http://dbpedia.org/ontology/Organisation
31|Topological_space|http://www.w3.org/2002/07/owl#Thing
32|Topology|http://www.w3.org/2002/07/owl#Thing
33|Closed_set|http://www.w3.org/2002/07/owl#Thing
