Eid|Sid|Course Number|Number In Series|N In Series|Title|Date|Url|Ressources|Description|Video|Corpus
0|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture1|0|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:17Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|YQQOfK3ZLRU|MIT OpenCourseWare
1|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture2|1|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:10Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|uS-w4yl35vc|MIT OpenCourseWare
2|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture3|2|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:08Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|RdrCzc3DxLg|MIT OpenCourseWare
3|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture4|3|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:15Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|Rv3xYk85Lq0|MIT OpenCourseWare
4|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture5|4|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:12Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|6bPEZYhh1P4|MIT OpenCourseWare
5|0|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Lecture6|5|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|2023-05-22T14:30:05Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|re2cL2GfUfM|MIT OpenCourseWare
6|1|PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|Lecture1|0|MIT 18.650 Statistics for Applications, Fall 2016|2017-10-30T16:08:26Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|VPZD_aij8H0|MIT OpenCourseWare
7|1|PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|Lecture2|1|MIT 18.650 Statistics for Applications, Fall 2016|2017-08-17T20:51:45Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|C_W1adH-NVE|MIT OpenCourseWare
8|1|PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|Lecture3|2|MIT 18.650 Statistics for Applications, Fall 2016|2017-08-17T20:51:54Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|TSkDZbGS94k|MIT OpenCourseWare
9|1|PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|Lecture4|3|MIT 18.650 Statistics for Applications, Fall 2016|2017-08-17T20:51:39Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|rLlZpnT02ZU|MIT OpenCourseWare
