Sid|Category|Course Number|Serie Name|Professor Name|Date|Url|Corpus|Description
0|Maths|PLUl4u3cNGP613ULTyHAqz04niYf722x7S|MIT 18.S190 Introduction To Metric Spaces, IAP 2023|Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2023-04-04T14:50:46Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP613ULTyHAqz04niYf722x7S|MIT OpenCourseWare|Instructor: Paige Bright  View the complete course: https://ocw.mit.edu/courses/18-s190-introduction-to-metric-spaces-january-iap-2023/  How do we go from real analysis on Euclidean space to more general settings? We use metric spaces! In this six-lecture course we develop the general theory of metric spaces, including compact sets, complete metric spaces, and much more.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
1|Maths|PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT 18.650 Statistics for Applications, Fall 2016|Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2017-07-20T18:35:48Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0|MIT OpenCourseWare|MIT 18.650 Statistics for Applications, Fall 2016 View the complete course: http://ocw.mit.edu/18-650F16 Instructor: Philippe Rigollet  This course offers an in-depth the theoretical foundations for statistical methods that are useful in many applications. The goal is to understand the role of mathematics in the research and development of efficient statistical methods.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
2|Maths|PLUl4u3cNGP60DW_heGsvmEGwaXtGuSzQ7|Gil Strang's Final 18.06 Linear Algebra Lecture||2023-06-23T18:45:45Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60DW_heGsvmEGwaXtGuSzQ7|MIT OpenCourseWare|Speakers:  Gilbert Strang, Alan Edelman, Pavel Grinfeld, Michel Goemans   Revered mathematics professor Gilbert Strang capped a 61-year career as a faculty member at MIT by delivering his final 18.06 Linear Algebra lecture before retiring at the age of 88. In addition to a brief review for the course final exam, the overflowing audience (both in person and on the live YouTube stream) heard recollections, appreciations, and congratulations from Prof. Strang’s colleagues and former students.  A rousing standing ovation concluded this historic event.  This video has been dubbed using an artificial voice via https://aloud.area120.google.com to increase accessibility. You can change the audio track language in the Settings menu.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
3|Maths|PL590CCC2BC5AF3BC1|MIT 18.01 Single Variable Calculus, Fall 2006||2009-01-20T20:01:19Z|https://www.youtube.com/playlist?list=PL590CCC2BC5AF3BC1|MIT OpenCourseWare|This introductory calculus course covers differentiation and integration of functions of one variable, with applications.   **Note: Lectures 8, 17, 27, 34 are exams and therefore have no video  View the complete course at: http://ocw.mit.edu/18-01F06  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms
4|Maths|PL4C4C8A7D06566F38|MIT 18.02 Multivariable Calculus, Fall 2007||2009-01-21T12:48:34Z|https://www.youtube.com/playlist?list=PL4C4C8A7D06566F38|MIT OpenCourseWare|This course covers vector and multi-variable calculus. It is the second semester in the freshman calculus sequence. Topics include vectors and matrices, partial derivatives, double and triple integrals, and vector calculus in 2 and 3-space.  MIT OpenCourseWare offers another version of 18.02, from the Spring 2006 term. Both versions cover the same material, although they are taught by different faculty and rely on different textbooks. Multivariable Calculus (18.02) is taught during the Fall and Spring terms at MIT, and is a required subject for all MIT undergraduates.  License: Creative Commons BY-NC-SA More information at ocw.mit.edu/terms
5|Maths|PLUl4u3cNGP63micsJp_--fRAjZXPrQzW_|MIT 18.102 Introduction to Functional Analysis, Spring 2021|Dr. Casey Rodriguez  View the complete course: https://ocw.mit.edu/courses/18-102-introduction-to-functional-analysis-spring-2021/  Functional analysis helps us study and solve both linear and nonlinear problems posed on a normed space that is no longer finite-dimensional, a situation that arises very naturally in many concrete problems. Topics include normed spaces, completeness, functionals, the Hahn-Banach Theorem, duality, operators; Lebesgue measure, measurable functions, integrability, completeness of Lᵖ spaces; Hilbert spaces; compact and self-adjoint operators; and the Spectral Theorem.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-09-20T15:57:18Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63micsJp_--fRAjZXPrQzW_|MIT OpenCourseWare|MIT 18.102 Introduction to Functional Analysis, Spring 2021 Instructor: Dr. Casey Rodriguez  View the complete course: https://ocw.mit.edu/courses/18-102-introduction-to-functional-analysis-spring-2021/  Functional analysis helps us study and solve both linear and nonlinear problems posed on a normed space that is no longer finite-dimensional, a situation that arises very naturally in many concrete problems. Topics include normed spaces, completeness, functionals, the Hahn-Banach Theorem, duality, operators; Lebesgue measure, measurable functions, integrability, completeness of Lᵖ spaces; Hilbert spaces; compact and self-adjoint operators; and the Spectral Theorem.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
6|Maths|PLUl4u3cNGP63ctJIEC1UnZ0btsphnnoHR|MIT 18.S096 Topics in Mathematics w Applications in Finance||2015-01-06T18:16:52Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63ctJIEC1UnZ0btsphnnoHR|MIT OpenCourseWare|The purpose of the class is to expose undergraduate and graduate students to the mathematical concepts and techniques used in the financial industry. Mathematics lectures are mixed with lectures illustrating the corresponding application in the financial industry. MIT mathematicians teach the mathematics part while industry professionals give the lectures on applications in finance.  http://ocw.mit.edu/courses/mathematics/18-s096-topics-in-mathematics-with-applications-in-finance-fall-2013/
7|Maths|PLUl4u3cNGP62qauV_CpT1zKaGG_Vj5igX|MIT 18.217 Graph Theory and Additive Combinatorics, Fall 2019|Yufei Zhao View the complete course: https://ocw.mit.edu/18-217F19  This course examines classical and modern developments in graph theory and additive combinatorics, with a focus on topics and themes that connect the two subjects. The course also introduces students to current research topics and open problems.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2020-04-02T16:58:30Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62qauV_CpT1zKaGG_Vj5igX|MIT OpenCourseWare|Instructor: Yufei Zhao View the complete course: https://ocw.mit.edu/18-217F19  This course examines classical and modern developments in graph theory and additive combinatorics, with a focus on topics and themes that connect the two subjects. The course also introduces students to current research topics and open problems.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
8|Maths|PL3B08AE665AB9002A|MIT Calculus Revisited: Single Variable Calculus| Herb Gross has taught math as senior lecturer at MIT and was the founding math department chair at Bunker Hill Community College.  He is the developer of the Mathematics As A Second Language website, providing arithmetic and algebra materials to elementary and middle school teachers.  You can read more about Prof. Gross on his website.  Acknowledgements:  Funding for this resource was provided by the Gabriella and Paul Rosenbaum Foundation.  View the complete course at: http://ocw.mit.edu/RES-18-006F10  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2010-11-29T19:18:40Z|https://www.youtube.com/playlist?list=PL3B08AE665AB9002A|MIT OpenCourseWare|Resource Description:  Calculus Revisited is a series of videos and related resources that covers the materials normally found in a freshman-level introductory calculus course.  The series was first released in 1970 as a way for people to review the essentials of calculus.  It is equally valuable for students who are learning calculus for the first time.  About the Instructor:  Herb Gross has taught math as senior lecturer at MIT and was the founding math department chair at Bunker Hill Community College.  He is the developer of the Mathematics As A Second Language website, providing arithmetic and algebra materials to elementary and middle school teachers.  You can read more about Prof. Gross on his website.  Acknowledgements:  Funding for this resource was provided by the Gabriella and Paul Rosenbaum Foundation.  View the complete course at: http://ocw.mit.edu/RES-18-006F10  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
9|Maths|PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY|MIT 18.404J Theory of Computation, Fall 2020|Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2021-09-14T18:09:14Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY|MIT OpenCourseWare|Instructor: Michael Sipser View the complete course: https://ocw.mit.edu/18-404JF20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY  Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.  *There is no video for Lecture 13 as that was the day for the Midterm Exam.*  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
