|Concept|Class
0|Race_and_ethnicity_in_the_United_States_census|http://dbpedia.org/resource/Category:Race_in_the_United_States
1|Race_and_ethnicity_in_the_United_States_census|http://dbpedia.org/resource/Category:United_States_census
2|Race_and_ethnicity_in_the_United_States_census|http://dbpedia.org/resource/Category:Demographics_of_the_United_States
3|Race_and_ethnicity_in_the_United_States_census|http://dbpedia.org/resource/Category:Ethnic_groups_in_the_United_States
4|African_Americans|http://dbpedia.org/resource/Category:History_of_civil_rights_in_the_United_States
5|African_Americans|http://dbpedia.org/resource/Category:African-American_culture
6|African_Americans|http://dbpedia.org/resource/Category:African-American_society
7|African_Americans|http://dbpedia.org/resource/Category:Ethnic_groups_in_the_United_States
8|African_Americans|http://dbpedia.org/resource/Category:People_of_African_descent
9|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1775
10|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1776
11|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1777
12|American_Revolutionary_War|http://dbpedia.org/resource/Category:Global_conflicts
13|American_Revolutionary_War|http://dbpedia.org/resource/Category:Wars_between_the_United_Kingdom_and_the_United_States
14|American_Revolutionary_War|http://dbpedia.org/resource/Category:Rebellions_against_the_British_Empire
15|American_Revolutionary_War|http://dbpedia.org/resource/Category:Wars_of_independence
16|American_Revolutionary_War|http://dbpedia.org/resource/Category:American_Revolutionary_War
17|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1778
18|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1779
19|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1780
20|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1781
21|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1782
22|American_Revolutionary_War|http://dbpedia.org/resource/Category:Conflicts_in_1783
23|Citizenship|http://dbpedia.org/resource/Category:Government
24|Citizenship|http://dbpedia.org/resource/Category:Immigration_law
25|Citizenship|http://dbpedia.org/resource/Category:Human_migration
26|Citizenship|http://dbpedia.org/resource/Category:Citizenship
27|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Concord,_Massachusetts
28|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Towns_in_Middlesex_County,_Massachusetts
29|Concord,_Massachusetts|http://dbpedia.org/resource/Category:1635_establishments_in_Massachusetts
30|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Populated_places_established_in_1635
31|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Towns_in_Massachusetts
32|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Populated_places_on_the_Underground_Railroad
33|Concord,_Massachusetts|http://dbpedia.org/resource/Category:Transcendentalism
34|History_of_the_United_States|http://dbpedia.org/resource/Category:History_of_the_United_States
35|Massachusetts|http://dbpedia.org/resource/Category:Northeastern_United_States
36|Massachusetts|http://dbpedia.org/resource/Category:New_England_states
37|Massachusetts|http://dbpedia.org/resource/Category:States_and_territories_established_in_1788
38|Massachusetts|http://dbpedia.org/resource/Category:States_of_the_East_Coast_of_the_United_States
39|Massachusetts|http://dbpedia.org/resource/Category:Massachusetts
40|Massachusetts|http://dbpedia.org/resource/Category:States_of_the_United_States
41|Massachusetts|http://dbpedia.org/resource/Category:Contiguous_United_States
42|Massachusetts|http://dbpedia.org/resource/Category:1788_establishments_in_the_United_States
43|Minutemen|http://dbpedia.org/resource/Category:Militia_in_the_United_States
44|Minutemen|http://dbpedia.org/resource/Category:United_States_militia_in_the_American_Revolution
45|Orthopedic_surgery|http://dbpedia.org/resource/Category:Surgical_specialties
46|Orthopedic_surgery|http://dbpedia.org/resource/Category:Orthopedics
47|United_States|http://dbpedia.org/resource/Category:Superpowers
