OER|Concept|PR
0|http://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States_census|0.01013816
1|http://en.wikipedia.org/wiki/African_Americans|0.006258572
1|http://en.wikipedia.org/wiki/American_Revolutionary_War|0.006965645
1|http://en.wikipedia.org/wiki/Citizenship|0.005501567
1|http://en.wikipedia.org/wiki/Concord,_Massachusetts|0.01816122
1|http://en.wikipedia.org/wiki/History_of_the_United_States|0.005417711
1|http://en.wikipedia.org/wiki/Massachusetts|0.007550153
1|http://en.wikipedia.org/wiki/Minutemen|0.006171939
1|http://en.wikipedia.org/wiki/Orthopedic_surgery|0.008945103
1|http://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States_census|0.009721993
1|http://en.wikipedia.org/wiki/United_States|0.00550716
2|http://en.wikipedia.org/wiki/Concord,_Massachusetts|0.009278251
2|http://en.wikipedia.org/wiki/John_Jack|0.005462049
2|http://en.wikipedia.org/wiki/Slavery|0.009579943
2|http://en.wikipedia.org/wiki/United_States|0.005756248
3|http://en.wikipedia.org/wiki/Confederate_States_of_America|0.01470167
3|http://en.wikipedia.org/wiki/Cotton|0.005024823
3|http://en.wikipedia.org/wiki/Credit_card|0.005141895
3|http://en.wikipedia.org/wiki/Debit_card|0.005581432
3|http://en.wikipedia.org/wiki/JPEG|0.01192988
3|http://en.wikipedia.org/wiki/Nation_state|0.005775289
3|http://en.wikipedia.org/wiki/Ralph_Ellison|0.01122867
3|http://en.wikipedia.org/wiki/Scrip|0.005981103
3|http://en.wikipedia.org/wiki/Slavery|0.005973909
3|http://en.wikipedia.org/wiki/United_States_one-dollar_bill|0.005182183
4|http://en.wikipedia.org/wiki/Barack_Obama|0.01187951
4|http://en.wikipedia.org/wiki/Flag_of_Georgia_(U%2eS%2e_state)|0.006455262
4|http://en.wikipedia.org/wiki/Flags_of_the_Confederate_States_of_America|0.008851189
4|http://en.wikipedia.org/wiki/Laredo,_Texas|0.006057463
4|http://en.wikipedia.org/wiki/National_Football_League|0.006819449
4|http://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States_census|0.005800879
5|http://en.wikipedia.org/wiki/Barack_Obama|0.00957809
5|http://en.wikipedia.org/wiki/Gone_with_the_Wind_(novel)|0.01217117
5|http://en.wikipedia.org/wiki/Hillary_Clinton|0.005965326
5|http://en.wikipedia.org/wiki/John_C%2e_Calhoun|0.0108534
5|http://en.wikipedia.org/wiki/Scrip|0.006423204
6|http://en.wikipedia.org/wiki/Abolitionism|0.006151179
6|http://en.wikipedia.org/wiki/American_Civil_War|0.009860071
6|http://en.wikipedia.org/wiki/Frederick_Douglass|0.01882085
6|http://en.wikipedia.org/wiki/Independence_Day_(United_States)|0.01107042
6|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.01142615
6|http://en.wikipedia.org/wiki/New_York_City|0.01257071
6|http://en.wikipedia.org/wiki/New_York_City_draft_riots|0.01864281
6|http://en.wikipedia.org/wiki/Slavery|0.008403272
6|http://en.wikipedia.org/wiki/Tu_Holloway|0.005599531
6|http://en.wikipedia.org/wiki/United_States|0.007117195
7|http://en.wikipedia.org/wiki/Abolitionism|0.00668826
7|http://en.wikipedia.org/wiki/Bury_F%2eC%2e|0.00603725
7|http://en.wikipedia.org/wiki/Bury_Me_in_a_Free_Land|0.01731957
7|http://en.wikipedia.org/wiki/Frances_Harper|0.01304195
7|http://en.wikipedia.org/wiki/Frederick_Douglass|0.01023794
7|http://en.wikipedia.org/wiki/Free_Land_(novel)|0.008861054
7|http://en.wikipedia.org/wiki/Poetry|0.005377603
7|http://en.wikipedia.org/wiki/Slavery|0.009584656
7|http://en.wikipedia.org/wiki/Underground_Railroad|0.00830559
8|http://en.wikipedia.org/wiki/Frances_Harper|0.008723852
8|http://en.wikipedia.org/wiki/Missouri_Compromise|0.01322586
8|http://en.wikipedia.org/wiki/Republican_Party_(United_States)|0.006042572
8|http://en.wikipedia.org/wiki/Slave_states_and_free_states|0.006469668
9|http://en.wikipedia.org/wiki/American_Civil_War|0.005769281
9|http://en.wikipedia.org/wiki/Emancipation_Proclamation|0.02363078
9|http://en.wikipedia.org/wiki/Maryland|0.005698583
9|http://en.wikipedia.org/wiki/Slavery|0.01307918
9|http://en.wikipedia.org/wiki/Slavery_in_the_United_States|0.006214161
9|http://en.wikipedia.org/wiki/South_Carolina|0.006580162
9|http://en.wikipedia.org/wiki/United_States|0.006693079
10|http://en.wikipedia.org/wiki/Conscription|0.005649378
10|http://en.wikipedia.org/wiki/New_York_City|0.01489914
11|http://en.wikipedia.org/wiki/American_Civil_War|0.006578707
11|http://en.wikipedia.org/wiki/Evolution|0.005073761
11|http://en.wikipedia.org/wiki/Free_will|0.01538216
11|http://en.wikipedia.org/wiki/Freedmen%27s_Bureau|0.01629889
11|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.01630209
11|http://en.wikipedia.org/wiki/Mississippi|0.007028272
11|http://en.wikipedia.org/wiki/Nigger|0.01591585
11|http://en.wikipedia.org/wiki/Reconstruction_era|0.00971942
11|http://en.wikipedia.org/wiki/Robin_Holloway|0.007936797
11|http://en.wikipedia.org/wiki/United_States|0.008253269
12|http://en.wikipedia.org/wiki/Assassination_of_Abraham_Lincoln|0.005007293
12|http://en.wikipedia.org/wiki/Emancipation_Proclamation|0.02548791
12|http://en.wikipedia.org/wiki/Fifteenth_Amendment_to_the_United_States_Constitution|0.006115717
12|http://en.wikipedia.org/wiki/Reconstruction_Amendments|0.01373259
12|http://en.wikipedia.org/wiki/Reconstruction_era|0.01169041
12|http://en.wikipedia.org/wiki/Slavery_in_the_United_States|0.006967993
12|http://en.wikipedia.org/wiki/Thirteenth_Amendment_to_the_United_States_Constitution|0.01538271
13|http://en.wikipedia.org/wiki/Black_Codes_(United_States)|0.006140802
13|http://en.wikipedia.org/wiki/Reconstruction_era|0.01580058
13|http://en.wikipedia.org/wiki/Ten_percent_plan|0.006898499
14|http://en.wikipedia.org/wiki/African_Americans|0.005627714
14|http://en.wikipedia.org/wiki/Black_Codes_(United_States)|0.0542028
14|http://en.wikipedia.org/wiki/Reconstruction_era|0.005918166
15|http://en.wikipedia.org/wiki/Black_Codes_(United_States)|0.01089098
15|http://en.wikipedia.org/wiki/Company_store|0.008749048
15|http://en.wikipedia.org/wiki/Cotton|0.01079136
15|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.005687169
15|http://en.wikipedia.org/wiki/Sharecropping|0.0414086
16|http://en.wikipedia.org/wiki/Freedmen%27s_Bureau|0.01853098
17|http://en.wikipedia.org/wiki/Agriculture|0.005077796
17|http://en.wikipedia.org/wiki/Billie_Holiday|0.01673345
17|http://en.wikipedia.org/wiki/Crow|0.006683212
17|http://en.wikipedia.org/wiki/Fruit|0.006596098
17|http://en.wikipedia.org/wiki/Great_Depression|0.01751197
17|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.01031062
17|http://en.wikipedia.org/wiki/Magnolia|0.01000381
17|http://en.wikipedia.org/wiki/Music|0.00514451
17|http://en.wikipedia.org/wiki/Populus|0.01101617
17|http://en.wikipedia.org/wiki/Reconstruction_era|0.005611621
17|http://en.wikipedia.org/wiki/Strange_Fruit|0.006708427
18|http://en.wikipedia.org/wiki/Anxiety|0.005702129
18|http://en.wikipedia.org/wiki/Billie_Holiday|0.005041288
18|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.005080592
18|http://en.wikipedia.org/wiki/Knights_of_the_White_Camelia|0.009027119
18|http://en.wikipedia.org/wiki/Ku_Klux_Klan|0.006065023
18|http://en.wikipedia.org/wiki/Nativism_(politics)|0.005566992
18|http://en.wikipedia.org/wiki/Race_and_ethnicity_in_the_United_States_census|0.007261135
18|http://en.wikipedia.org/wiki/Reconstruction_era|0.006765752
18|http://en.wikipedia.org/wiki/White_Southerners|0.005065161
19|http://en.wikipedia.org/wiki/Gerrymandering|0.0087729
19|http://en.wikipedia.org/wiki/Grandfather_clause|0.00595156
19|http://en.wikipedia.org/wiki/Literacy_test|0.007146173
20|http://en.wikipedia.org/wiki/Ida_B%2e_Wells|0.01154514
20|http://en.wikipedia.org/wiki/Lynching|0.02440043
21|http://en.wikipedia.org/wiki/Lynching|0.01605746
21|http://en.wikipedia.org/wiki/New_York_(state)|0.006035178
21|http://en.wikipedia.org/wiki/New_York_City|0.009703549
21|http://en.wikipedia.org/wiki/Postcard|0.00571011
22|http://en.wikipedia.org/wiki/Alexander_Crummell|0.005078025
22|http://en.wikipedia.org/wiki/Booker_T%2e_Washington|0.01164118
22|http://en.wikipedia.org/wiki/Frederick_Douglass|0.01060232
22|http://en.wikipedia.org/wiki/Jim_Crow_laws|0.01880625
22|http://en.wikipedia.org/wiki/Miscegenation|0.008071571
22|http://en.wikipedia.org/wiki/National_Baptist_Convention,_USA,_Inc%2e|0.006502901
22|http://en.wikipedia.org/wiki/Plessy_v%2e_Ferguson|0.006182663
22|http://en.wikipedia.org/wiki/W%2e_E%2e_B%2e_Du_Bois|0.006153212
23|http://en.wikipedia.org/wiki/Booker_T%2e_Washington|0.0050595
23|http://en.wikipedia.org/wiki/Jim_Crow_laws|0.005157861
23|http://en.wikipedia.org/wiki/Plessy_v%2e_Ferguson|0.007519643
24|http://en.wikipedia.org/wiki/NAACP|0.007674561
24|http://en.wikipedia.org/wiki/Niagara_Movement|0.01183018
24|http://en.wikipedia.org/wiki/The_Souls_of_Black_Folk|0.006669659
25|http://en.wikipedia.org/wiki/African_Americans|0.006404509
25|http://en.wikipedia.org/wiki/Great_Migration_(African_American)|0.01401738
25|http://en.wikipedia.org/wiki/Jonathan_Holloway_(historian)|0.01089447
25|http://en.wikipedia.org/wiki/Sterling_Allen_Brown|0.01445531
25|http://en.wikipedia.org/wiki/Whippersnapper_(band)|0.006998345
26|http://en.wikipedia.org/wiki/African_Americans|0.006334229
26|http://en.wikipedia.org/wiki/Community_organizing|0.006389479
26|http://en.wikipedia.org/wiki/NAACP|0.02551787
26|http://en.wikipedia.org/wiki/National_Urban_League|0.02080014
26|http://en.wikipedia.org/wiki/Urban_area|0.005181647
26|http://en.wikipedia.org/wiki/YMCA|0.01241547
27|http://en.wikipedia.org/wiki/Boll_weevil|0.005451821
27|http://en.wikipedia.org/wiki/Chicago|0.005333106
27|http://en.wikipedia.org/wiki/Defender_(association_football)|0.007996578
27|http://en.wikipedia.org/wiki/Great_Migration_(African_American)|0.008113632
29|http://en.wikipedia.org/wiki/African_Americans|0.005107736
29|http://en.wikipedia.org/wiki/American_Negro_Academy|0.005695167
29|http://en.wikipedia.org/wiki/NAACP|0.01958307
29|http://en.wikipedia.org/wiki/W%2e_E%2e_B%2e_Du_Bois|0.006389088
29|http://en.wikipedia.org/wiki/World_War_I|0.009326559
30|http://en.wikipedia.org/wiki/East_St%2e_Louis,_Illinois|0.009405502
30|http://en.wikipedia.org/wiki/Fifth_Avenue|0.005331336
30|http://en.wikipedia.org/wiki/Mississippi_River|0.007254366
30|http://en.wikipedia.org/wiki/NAACP|0.005502367
30|http://en.wikipedia.org/wiki/New_York_City|0.008862695
30|http://en.wikipedia.org/wiki/New_York_City_draft_riots|0.009256203
30|http://en.wikipedia.org/wiki/St%2e_Louis|0.008501765
30|http://en.wikipedia.org/wiki/Strikebreaker|0.01295463
31|http://en.wikipedia.org/wiki/Chicago|0.01248407
31|http://en.wikipedia.org/wiki/East_St%2e_Louis,_Illinois|0.007972678
31|http://en.wikipedia.org/wiki/Lake_Michigan|0.01005776
31|http://en.wikipedia.org/wiki/St%2e_Louis|0.00711587
31|http://en.wikipedia.org/wiki/Strikebreaker|0.005780404
31|http://en.wikipedia.org/wiki/World_War_I|0.006016925
32|http://en.wikipedia.org/wiki/France|0.02271225
32|http://en.wikipedia.org/wiki/United_States_in_World_War_I|0.005675139
32|http://en.wikipedia.org/wiki/World_War_I|0.008624612
