Before|After|Sid
0|1|0
1|2|0
2|3|0
3|4|0
4|5|0
5|6|0
6|7|0
7|8|0
8|9|0
9|10|0
10|11|0
11|12|0
12|13|0
13|14|0
14|15|0
15|16|0
16|17|0
17|18|0
18|19|0
19|20|0
20|21|0
21|22|0
22|23|0
23|24|0
24|25|0
25|26|0
26|27|0
27|28|0
28|29|0
29|30|0
30|31|0
31|32|0
32|33|0
33|34|0
34|35|0
35|36|0
36|37|0
37|38|0
38|39|0
39|40|0
40|41|0
41|42|0
42|43|0
43|44|0
44|45|0
45|46|0
46|47|0
47|48|0
48|49|0
49|50|0
50|51|0
51|52|0
52|53|0
53|54|0
54|55|0
55|56|0
56|57|0
57|58|0
58|59|0
59|60|0
60|61|0
61|62|0
62|63|0
63|64|0
64|65|0
65|66|0
66|67|0
67|68|0
68|69|0
69|70|0
70|71|0
71|72|0
72|73|0
73|74|0
74|75|0
75|76|0
76|77|0
77|78|0
78|79|0
79|80|0
80|81|0
81|82|0
82|83|0
83|84|0
84|85|0
85|86|0
86|87|0
87|88|0
88|89|0
89|90|0
90|91|0
91|92|0
92|93|0
93|94|0
94|95|0
95|96|0
96|97|0
97|98|0
98|99|0
99|100|0
100|101|0
101|102|0
102|103|0
103|104|0
104|105|0
105|106|0
106|107|0
108|109|1
109|110|1
110|111|1
111|112|1
112|113|1
113|114|1
114|115|1
115|116|1
116|117|1
117|118|1
118|119|1
119|120|1
120|121|1
126|127|1
127|128|1
128|129|1
129|130|1
130|131|1
131|132|1
132|133|1
133|134|1
134|135|1
140|141|1
146|147|1
152|153|1
153|154|1
154|155|1
155|156|1
156|157|1
157|158|1
158|159|1
159|160|1
160|161|1
161|162|1
162|163|1
169|170|1
170|171|1
171|172|1
172|173|1
173|174|1
179|180|1
180|181|1
181|182|1
182|183|1
183|184|1
189|190|1
202|203|2
208|209|2
214|215|2
220|221|2
226|227|2
231|232|2
237|238|2
243|244|2
249|250|2
255|256|2
261|262|2
267|268|2
272|273|2
278|279|2
284|285|2
290|291|2
296|297|2
297|298|2
303|304|2
309|310|2
315|316|2
321|322|2
327|328|2
333|334|2
340|341|2
345|346|2
351|352|2
357|358|2
365|366|3
371|372|3
378|379|3
385|386|3
392|393|3
399|400|3
406|407|3
412|413|3
418|419|3
424|425|3
430|431|3
439|440|3
446|447|3
453|454|3
459|460|3
465|466|3
471|472|3
477|478|3
478|479|3
479|480|3
480|481|3
486|487|3
498|499|4
499|500|4
505|506|4
511|512|4
517|518|4
523|524|4
529|530|4
534|535|4
540|541|4
547|548|4
554|555|4
561|562|4
568|569|4
575|576|4
581|582|4
587|588|4
594|595|4
595|596|4
607|608|5
613|614|5
619|620|5
625|626|5
631|632|5
637|638|5
643|644|5
649|650|5
655|656|5
659|660|5
665|666|5
671|672|5
677|678|5
682|683|5
687|688|5
693|694|5
700|701|6
701|702|6
707|708|6
713|714|6
720|721|7
721|722|7
722|723|7
723|724|7
724|725|7
725|726|7
726|727|7
727|728|7
728|729|7
729|730|7
730|731|7
731|732|7
732|733|7
733|734|7
734|735|7
735|736|7
739|740|7
744|745|7
749|750|7
753|754|7
758|759|7
762|763|7
763|764|7
764|765|7
765|766|7
766|767|7
767|768|7
768|769|7
769|770|7
770|771|7
771|772|7
772|773|7
773|774|7
774|775|7
775|776|7
776|777|7
777|778|7
778|779|7
779|780|7
780|781|7
781|782|7
782|783|7
783|784|7
784|785|7
785|786|7
786|787|7
787|788|7
788|789|7
789|790|7
790|791|7
796|797|7
802|803|7
809|810|7
815|816|7
822|823|7
829|830|8
830|831|8
831|832|8
832|833|8
833|834|8
834|835|8
835|836|8
836|837|8
837|838|8
838|839|8
839|840|8
840|841|8
841|842|8
842|843|8
843|844|8
844|845|8
845|846|8
846|847|8
847|848|8
848|849|8
849|850|8
850|851|8
851|852|8
852|853|8
853|854|8
854|855|8
855|856|8
856|857|8
857|858|8
858|859|8
859|860|8
860|861|8
861|862|8
862|863|8
863|864|8
864|865|8
865|866|8
866|867|8
867|868|8
868|869|8
869|870|8
870|871|8
871|872|8
872|873|8
873|874|8
874|875|8
875|876|8
876|877|8
877|878|8
878|879|8
879|880|8
880|881|8
881|882|8
882|883|8
883|884|8
884|885|8
885|886|8
886|887|8
887|888|8
888|889|8
889|890|8
890|891|8
891|892|8
892|893|8
893|894|8
894|895|8
895|896|8
896|897|8
898|899|9
899|900|9
900|901|9
901|902|9
902|903|9
903|904|9
904|905|9
905|906|9
906|907|9
907|908|9
908|909|9
909|910|9
910|911|9
911|912|9
912|913|9
913|914|9
914|915|9
915|916|9
916|917|9
917|918|9
918|919|9
919|920|9
920|921|9
921|922|9
922|923|9
923|924|9
924|925|9
925|926|9
926|927|9
927|928|9
928|929|9
929|930|9
930|931|9
931|932|9
932|933|9
933|934|9
934|935|9
935|936|9
936|937|9
937|938|9
938|939|9
939|940|9
940|941|9
941|942|9
942|943|9
943|944|9
944|945|9
945|946|9
946|947|9
947|948|9
948|949|9
949|950|9
950|951|9
955|956|10
958|959|10
962|963|10
966|967|10
970|971|10
974|975|10
978|979|10
982|983|10
986|987|10
990|991|10
994|995|10
998|999|10
1002|1003|10
1006|1007|10
