Playlist Title,Channel,Category
PL7A9646BC5110CF64,Khan Academy,Biology
PLSQl0a2vh4HDERCw_ddanXbsDpFWcpL-S,Khan Academy,Economics
PLFD0EB975BA0CC1E0,Khan Academy,Maths
PLSQl0a2vh4HDCasLssY8bUV2qwDkZeOYL,Khan Academy,Maths
PLD6DA74C1DBF770E7,Khan Academy,Maths
PL1328115D3D8A2566,Khan Academy,Maths
PLC58778F28211FA19,Khan Academy,Maths
PLE88E3C9C7791BD2D,Khan Academy,Maths
PL166048DD75B05C0D,Khan Academy,Chemistry
PLSQl0a2vh4HCLqA-rhMi_Z_WnBkD3wUka,Khan Academy,Electrical engineering
PLAD5B880806EBE0A4,Khan Academy,Physics
PL01AEFFF7C4C3C881,Khan Academy,Healthcare and Medicine 
PL2186CFB2CE12A8B5,Khan Academy,Cosmology and astronomy
PLSQl0a2vh4HB9UeibLURBlcdR4XzputM9,Khan Academy,History
PLSQl0a2vh4HDFvmGd8eL5PJusJqrNZ0ge,Khan Academy,Music
