Playlist Title,Channel,Category
PLUl4u3cNGP613ULTyHAqz04niYf722x7S,MIT OpenCourseWare,Maths
PLUl4u3cNGP60uVBMaoNERc6knT_MgPKS0,MIT OpenCourseWare,Maths
PLUl4u3cNGP60DW_heGsvmEGwaXtGuSzQ7,MIT OpenCourseWare,Maths
PL590CCC2BC5AF3BC1,MIT OpenCourseWare,Maths
PL4C4C8A7D06566F38,MIT OpenCourseWare,Maths
PLUl4u3cNGP63micsJp_--fRAjZXPrQzW_,MIT OpenCourseWare,Maths
PLUl4u3cNGP63ctJIEC1UnZ0btsphnnoHR,MIT OpenCourseWare,Maths
PLUl4u3cNGP62qauV_CpT1zKaGG_Vj5igX,MIT OpenCourseWare,Maths
PL3B08AE665AB9002A,MIT OpenCourseWare,Maths
PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY,MIT OpenCourseWare,Maths
PLUl4u3cNGP61iQEFiWLE21EJCxwmWvvek,MIT OpenCourseWare,Maths
PLUl4u3cNGP63oMNUHXqIUcrkS2PivhN3k,MIT OpenCourseWare,Maths
PL1C22D4DED943EF7B,MIT OpenCourseWare,Maths
PLUl4u3cNGP62uI_DWNdWoIMsgPcLGOx-V,MIT OpenCourseWare,Maths
PLUl4u3cNGP61O7HkcF7UImpM0cR_L2gSw,MIT OpenCourseWare,Maths
PLUl4u3cNGP61O2kne_fe_Clsqvu0b3kcu,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP619EG1wp0kT-7rDE_Az5TNd,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP63EdVPNLG3ToM6LaEUuStEY,MIT OpenCourseWare,Computer Science
PL9B24A6A9D5754E70,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP6317WaSNfmCvGym2ucw3oGp,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP60UlabZBeeqOuoLuj_KNphQ,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP62QumaaZtCCjkID-NgqrleA,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP63d33STUUBfZUpzFCVR5-PV,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP62K2DjQLRxDNRi0z2IRWnNh,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi,MIT OpenCourseWare,Computer Science
PLE638294EA3288272,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP60B0PQXVQyGNdCyCTDU1Q5j,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP63pfpS1gV5P9tDxxL_e4W8O,MIT OpenCourseWare,Computer Science
PLUl4u3cNGP61kvh3caDts2R6LmkYbmzaG,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63wnrKge9vllow3Y2OOOKqF,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP62ydNAexE7BtehzDRyFBUEe,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP62ihmDWYj4LMPMdHBHiPa_7,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP620R91K4KP_fO4l3eeK5lDn,MIT OpenCourseWare,Humanities & Social Sciences
PLF9FBF71EC6C744EB,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63fCab3HxkgpDsJ9nqgAs7k,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63-t0r0aC3noJiIOmj33S_Q,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63BZGNOqrF2qf_yxOjuG35j,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63Z979ri_UXXk_1zrvrF77Q,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP61EXhUSGCUWD5mEwdRWaTrq,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP61Iarlv9eLlXmTMybRZR1-1,MIT OpenCourseWare,Humanities & Social Sciences
PLUl4u3cNGP63wurgwdJKo6UEYBWDLnmCj,MIT OpenCourseWare,Humanities & Social Sciences
