Epochs,Learning rate,Layers,Channels,Time,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,16,15.821351051330566,0.7415730337078652,0.7677419354838709,0.7664057295136575,0.7660965794768612,3.6841326615067373,15.818930864334106,Reinjection,Stanford
300,0.01,6,16,15.346802711486816,0.8202247191011236,0.8193548387096774,0.8151260504201681,0.8165990534144693,4.315269870188786,15.344178199768066,Reinjection,Stanford
300,0.01,6,16,15.385460615158081,0.8160919540229885,0.8129032258064516,0.8099429912810194,0.8108881315999832,3.302974331265432,15.38249158859253,Reinjection,Stanford
300,0.01,6,16,14.2967209815979,0.8160919540229885,0.7677419354838709,0.7651098901098901,0.7625127681307455,4.162082795497554,14.293971300125122,Reinjection,Stanford
300,0.01,6,16,14.491754531860352,0.8837209302325582,0.832258064516129,0.8336783988957902,0.828481443649983,3.545009865607426,14.489124298095703,Reinjection,Stanford
300,0.01,6,16,8.552906513214111,0.8095238095238095,0.8258064516129032,0.8251165889407062,0.8253411794165519,8.754991894176783,8.551095247268677,NoEnrichment,Stanford
300,0.01,6,16,7.710856199264526,0.8734177215189873,0.832258064516129,0.834453781512605,0.8316906114266622,16.604118148334237,7.70945930480957,NoEnrichment,Stanford
300,0.01,6,16,7.4385693073272705,0.8352941176470589,0.8258064516129032,0.8240274983232729,0.8243736623442024,15.589887921785703,7.437094688415527,NoEnrichment,Stanford
300,0.01,6,16,7.358315944671631,0.8651685393258427,0.832258064516129,0.8293269230769231,0.8277777777777778,20.578665353095857,7.356885194778442,NoEnrichment,Stanford
300,0.01,6,16,7.779806137084961,0.9333333333333333,0.9096774193548387,0.9089026915113871,0.9068509615384616,15.473138021337945,7.778288841247559,NoEnrichment,Stanford
300,0.01,6,16,7.8664538860321045,0.7191011235955056,0.7419354838709677,0.7405896069287141,0.7401073105298457,83.57954646646976,7.865631341934204,Conv,Stanford
300,0.01,6,16,7.693996429443359,0.7790697674418605,0.7612903225806451,0.7584033613445378,0.75871934031722,89.77604794129729,7.6930646896362305,Conv,Stanford
300,0.01,6,16,7.694623708724976,0.75,0.7419354838709677,0.737927565392354,0.7387933940006741,93.16957008838654,7.693752765655518,Conv,Stanford
300,0.01,6,16,7.549785375595093,0.825,0.7483870967741936,0.7532623626373627,0.7456771424965292,87.05590438470244,7.5489983558654785,Conv,Stanford
300,0.01,6,16,7.8782875537872314,0.8255813953488372,0.7677419354838709,0.7668219461697723,0.7625127681307455,91.63434053957462,7.877375841140747,Conv,Stanford
300,0.01,6,16,41.89794158935547,0.7317073170731707,0.7354838709677419,0.7350099933377748,0.7350869148359664,10.660845969336151,41.89331769943237,GAT,Stanford
300,0.01,6,16,40.068339586257935,0.8426966292134831,0.8451612903225807,0.8411764705882353,0.8427991886409736,12.4004207819562,40.06521010398865,GAT,Stanford
300,0.01,6,16,40.62491488456726,0.8235294117647058,0.8129032258064516,0.8110328638497653,0.8113643039993286,13.127605731213407,40.6214497089386,GAT,Stanford
300,0.01,6,16,45.075029373168945,0.8690476190476191,0.8129032258064516,0.8151614010989011,0.8097354497354499,11.845333479566762,45.069655656814575,GAT,Stanford
300,0.01,6,16,37.29297089576721,0.8292682926829268,0.7548387096774194,0.7584541062801933,0.7510987153482083,11.040145168983145,37.290118932724,GAT,Stanford
300,0.01,6,16,11.67130160331726,0.797752808988764,0.832258064516129,0.830946035976016,0.8310697518443997,16.762336581879936,11.668815612792969,SAGE,Stanford
300,0.01,6,16,10.947331428527832,0.9047619047619048,0.8903225806451613,0.8899159663865546,0.889420454068572,13.75502116683856,10.944595336914062,SAGE,Stanford
300,0.01,6,16,12.048821210861206,0.8636363636363636,0.8709677419354839,0.8678739101274313,0.8693966970003371,16.388309373378434,12.046271324157715,SAGE,Stanford
300,0.01,6,16,11.521717548370361,0.8651685393258427,0.832258064516129,0.8293269230769231,0.8277777777777778,12.677488979774353,11.5193350315094,SAGE,Stanford
300,0.01,6,16,11.992488145828247,0.9318181818181818,0.896774193548387,0.8980331262939958,0.894017094017094,11.95043120533228,11.990092515945435,SAGE,Stanford
