Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,64,17.390109300613403,embedd-er,dct,0.8556701030927835,0.8097826086956522,0.8115384615384615,0.808144904221408,12.723834540593089,17.388307094573975,Reinjection,Khan
300,0.01,6,64,16.86806583404541,embedd-er,dct,0.8629441624365483,0.845108695652174,0.8446428571428571,0.8441407904415863,10.999342160990636,16.866175651550293,Reinjection,Khan
300,0.01,6,64,16.97881531715393,embedd-er,dct,0.8878048780487805,0.8586956521739131,0.8580312132097685,0.85625,12.950220110666123,16.97698974609375,Reinjection,Khan
300,0.01,6,64,17.42307758331299,embedd-er,dct,0.8095238095238095,0.8179347826086957,0.8145130168907888,0.8158667094837309,8.099692246310951,17.42091727256775,Reinjection,Khan
300,0.01,6,64,17.467941761016846,embedd-er,dct,0.8252427184466019,0.8,0.7975427350427351,0.797131086808334,13.400049113057321,17.46542978286743,Reinjection,Khan
300,0.01,6,64,10.011873245239258,embedd-er,dct,0.8660287081339713,0.8505434782608695,0.8475961538461538,0.8478458612420408,22.935692456303514,10.00996708869934,NoEnrichment,Khan
300,0.01,6,64,9.865288019180298,embedd-er,dct,0.8415841584158416,0.8315217391304348,0.8297619047619047,0.8300712008818185,41.70065999031067,9.864126205444336,NoEnrichment,Khan
300,0.01,6,64,9.730093240737915,embedd-er,dct,0.8932038834951457,0.8668478260869565,0.8659552630784557,0.864444494561091,18.946457060141256,9.728880643844604,NoEnrichment,Khan
300,0.01,6,64,9.33180570602417,embedd-er,dct,0.8333333333333334,0.8233695652173914,0.8222904978181493,0.8224136010987787,25.805809645695263,9.330164194107056,NoEnrichment,Khan
300,0.01,6,64,9.715076923370361,embedd-er,dct,0.8423645320197044,0.8135135135135135,0.8122922602089269,0.8111951722760855,32.727780182241986,9.713624477386475,NoEnrichment,Khan
300,0.01,6,64,8.197587013244629,embedd-er,dct,0.7593582887700535,0.6983695652173914,0.7007211538461539,0.6967370726456068,134.54846353828907,8.196877002716064,Conv,Khan
300,0.01,6,64,7.882920026779175,embedd-er,dct,0.7268041237113402,0.6956521739130435,0.6947619047619047,0.694125330246089,122.0814209729433,7.88201379776001,Conv,Khan
300,0.01,6,64,8.354705810546875,embedd-er,dct,0.7655502392344498,0.7282608695652174,0.7230959640172668,0.7227245328511152,140.83015163242817,8.353983640670776,Conv,Khan
300,0.01,6,64,7.926300764083862,embedd-er,dct,0.7294117647058823,0.6766304347826086,0.6802178882061329,0.6766280469344202,129.96502742171288,7.925486326217651,Conv,Khan
300,0.01,6,64,8.365755319595337,embedd-er,dct,0.7352941176470589,0.6972972972972973,0.6939102564102564,0.6933459625858394,137.48766818642616,8.364985466003418,Conv,Khan
300,0.01,6,64,102.29394507408142,embedd-er,dct,0.72,0.6739130434782609,0.6711538461538462,0.6700143472022956,86.32775496412069,102.29129338264465,GAT,Khan
300,0.01,6,64,98.48898029327393,embedd-er,dct,0.7455621301775148,0.6820652173913043,0.6870238095238095,0.6820628696750184,96.88216966763139,98.48631072044373,GAT,Khan
300,0.01,6,64,105.9511365890503,embedd-er,dct,0.81875,0.7038043478260869,0.718069852386271,0.7037846619650704,135.76229831576347,105.94814014434814,GAT,Khan
300,0.01,6,64,101.0160984992981,embedd-er,dct,0.6808510638297872,0.5108695652173914,0.5373586249888681,0.44822071171531386,113.45069359242916,101.0131607055664,GAT,Khan
300,0.01,6,64,102.73193120956421,embedd-er,dct,0.6884422110552764,0.6405405405405405,0.637968898385565,0.636909636909637,130.74221231788397,102.72920274734497,GAT,Khan
300,0.01,6,64,14.29315185546875,embedd-er,dct,0.8601036269430051,0.8125,0.8146634615384616,0.8109800126549298,25.454903372155968,14.291341781616211,SAGE,Khan
300,0.01,6,64,13.938824653625488,embedd-er,dct,0.8284313725490197,0.8206521739130435,0.8183333333333334,0.8189192413217226,18.063017369760928,13.936854600906372,SAGE,Khan
300,0.01,6,64,14.558992147445679,embedd-er,dct,0.8894230769230769,0.8668478260869565,0.865140217949105,0.8642403800546592,25.499244397782604,14.557218074798584,SAGE,Khan
300,0.01,6,64,15.04206919670105,embedd-er,dct,0.8492462311557789,0.842391304347826,0.8412147119066702,0.8414735591206179,16.064331184039474,15.039699792861938,SAGE,Khan
300,0.01,6,64,13.751582622528076,embedd-er,dct,0.8229665071770335,0.8027027027027027,0.799264007597341,0.7994669280055832,15.393412867648294,13.74958086013794,SAGE,Khan
