Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,64,36.420180797576904,embedd-er,dct,0.7846153846153846,0.7774647887323943,0.7753588516746411,0.7758641358641358,27.409950114459207,36.41748046875,Reinjection,MIT
300,0.01,6,64,38.58249497413635,embedd-er,dct,0.8936170212765957,0.8676056338028169,0.8682692307692308,0.8667768542250541,21.800826186488848,38.579715728759766,Reinjection,MIT
300,0.01,6,64,40.07641911506653,embedd-er,dct,0.9108910891089109,0.8760563380281691,0.8760262725779967,0.8727764383918681,11.958252768723469,40.073240756988525,Reinjection,MIT
300,0.01,6,64,39.23031830787659,embedd-er,dct,0.8535353535353535,0.8535211267605634,0.8511471114519428,0.8520833333333333,69.10974215553142,39.2268648147583,Reinjection,MIT
300,0.01,6,64,43.68900179862976,embedd-er,dct,0.8781725888324873,0.8543417366946778,0.8534251817833907,0.8523948858215127,23.50745042283961,43.68631172180176,Reinjection,MIT
300,0.01,6,64,19.305327653884888,embedd-er,dct,0.8469387755102041,0.847887323943662,0.8459330143540671,0.8467184801381693,36.355291902960744,19.303645372390747,NoEnrichment,MIT
300,0.01,6,64,17.21953773498535,embedd-er,dct,0.9027027027027027,0.8704225352112676,0.8719551282051281,0.8697767145135566,26.3976285635581,17.21792459487915,NoEnrichment,MIT
300,0.01,6,64,21.42421293258667,embedd-er,dct,0.905,0.8647887323943662,0.8654351395730706,0.8614634146341463,16.910743064581766,21.42238211631775,NoEnrichment,MIT
300,0.01,6,64,18.1570143699646,embedd-er,dct,0.8871794871794871,0.8845070422535212,0.8830361707566462,0.8835609315125479,17.446768910795072,18.155455350875854,NoEnrichment,MIT
300,0.01,6,64,17.293377161026,embedd-er,dct,0.8730964467005076,0.8487394957983193,0.8477324913892078,0.8467177660454168,23.39246335018106,17.291571140289307,NoEnrichment,MIT
300,0.01,6,64,17.938904523849487,embedd-er,dct,0.7401960784313726,0.7408450704225352,0.736762360446571,0.7376791107113024,101.16444171220064,17.938029527664185,Conv,MIT
300,0.01,6,64,16.35151219367981,embedd-er,dct,0.805,0.7943661971830986,0.7909455128205127,0.7917219208358449,80.27079207450151,16.35066866874695,Conv,MIT
300,0.01,6,64,16.607526779174805,embedd-er,dct,0.8631578947368421,0.7971830985915493,0.8008210180623974,0.7938709677419356,101.66354502737522,16.60669493675232,Conv,MIT
300,0.01,6,64,16.423404693603516,embedd-er,dct,0.7860696517412935,0.7830985915492957,0.7795564928425358,0.7805845193087227,100.99535859376192,16.42252540588379,Conv,MIT
300,0.01,6,64,16.601651906967163,embedd-er,dct,0.7989949748743719,0.7703081232492998,0.7673172598545732,0.7669267515923568,98.31870989501476,16.600798845291138,Conv,MIT
300,0.01,6,64,215.27049803733826,embedd-er,dct,0.7397959183673469,0.7295774647887324,0.7270334928229665,0.7274995202456342,100.29293386638165,215.26667141914368,GAT,MIT
300,0.01,6,64,208.21052646636963,embedd-er,dct,0.7832512315270936,0.7746478873239436,0.7701923076923076,0.7712923592320577,97.19739371538162,208.20660614967346,GAT,MIT
300,0.01,6,64,219.06163597106934,embedd-er,dct,0.8404255319148937,0.7690140845070422,0.7727422003284072,0.7655746682128591,82.4960369747132,219.0563189983368,GAT,MIT
300,0.01,6,64,203.2909116744995,embedd-er,dct,0.7317073170731707,0.6732394366197183,0.6775306748466258,0.6732368437757887,113.95846177637577,203.2873899936676,GAT,MIT
300,0.01,6,64,207.29358673095703,embedd-er,dct,0.8238341968911918,0.7871148459383753,0.7865480290853425,0.7848032994923857,101.00641280412674,207.29022932052612,GAT,MIT
300,0.01,6,64,30.98242425918579,embedd-er,dct,0.8620689655172413,0.8788732394366198,0.8756778309409888,0.8774692770165595,24.18639435636578,30.97941827774048,SAGE,MIT
300,0.01,6,64,33.43540859222412,embedd-er,dct,0.9239130434782609,0.8901408450704226,0.892147435897436,0.889636425957959,27.833682669537666,33.433104038238525,SAGE,MIT
300,0.01,6,64,37.499444246292114,embedd-er,dct,0.9154228855721394,0.8788732394366198,0.8794745484400657,0.8757822099618355,32.54439144954085,37.49673128128052,SAGE,MIT
300,0.01,6,64,36.709413290023804,embedd-er,dct,0.8469387755102041,0.8422535211267606,0.840267126789366,0.8408785298072613,27.476317325767013,36.70659112930298,SAGE,MIT
300,0.01,6,64,35.97834634780884,embedd-er,dct,0.8717948717948718,0.8431372549019608,0.8427573670110984,0.8412426148275205,21.863841981670703,35.97574853897095,SAGE,MIT
