Epochs,Learning rate,Layers,Channels,Time,Embedding,Class,Test Precision,Test Accuracy,Test Recall,Test F1,Loss,Duration,Model,Data
300,0.01,6,64,35.28802967071533,embedd-er,rdfs,0.8315789473684211,0.819718309859155,0.8188197767145136,0.8188197767145136,24.7425322669078,35.285282135009766,Reinjection,MIT
300,0.01,6,64,35.05079507827759,embedd-er,rdfs,0.8860103626943006,0.8704225352112676,0.8697115384615385,0.8692930780559647,22.586646636598743,35.04794764518738,Reinjection,MIT
300,0.01,6,64,36.277212381362915,embedd-er,rdfs,0.896551724137931,0.8619718309859155,0.860919540229885,0.8581863836101125,21.70811806018901,36.274383783340454,Reinjection,MIT
300,0.01,6,64,31.7296142578125,embedd-er,rdfs,0.8578431372549019,0.8704225352112676,0.8667721114519428,0.8686707842758798,32.20294307702716,31.726114749908447,Reinjection,MIT
300,0.01,6,64,40.86786198616028,embedd-er,rdfs,0.8769230769230769,0.8487394957983193,0.8484500574052813,0.8469125214408233,25.018969048105646,40.86537742614746,Reinjection,MIT
300,0.01,6,64,19.625492095947266,embedd-er,rdfs,0.8168316831683168,0.8253521126760563,0.8220893141945773,0.8234340906173789,28.327711249097774,19.623632669448853,NoEnrichment,MIT
300,0.01,6,64,20.066813707351685,embedd-er,rdfs,0.8882978723404256,0.8619718309859155,0.8625801282051282,0.8611077841920777,35.9751223277126,20.065123558044434,NoEnrichment,MIT
300,0.01,6,64,19.53625988960266,embedd-er,rdfs,0.9230769230769231,0.8732394366197183,0.8768472906403941,0.8706739526411658,23.991384100256255,19.534464836120605,NoEnrichment,MIT
300,0.01,6,64,18.690699577331543,embedd-er,rdfs,0.8984771573604061,0.9014084507042254,0.8995878067484663,0.9004957195140507,18.50133573562198,18.68889832496643,NoEnrichment,MIT
300,0.01,6,64,17.56328845024109,embedd-er,rdfs,0.8969072164948454,0.8683473389355743,0.8687332567929582,0.866838617515178,22.228498004435096,17.561755418777466,NoEnrichment,MIT
300,0.01,6,64,25.2452290058136,embedd-er,rdfs,0.7871287128712872,0.7915492957746478,0.7881180223285487,0.7892600436400976,92.59761090576649,25.243911504745483,Conv,MIT
300,0.01,6,64,23.406825065612793,embedd-er,rdfs,0.7989130434782609,0.7605633802816901,0.7612980769230769,0.7594640052929876,92.61267226189375,23.40582799911499,Conv,MIT
300,0.01,6,64,23.2333767414093,embedd-er,rdfs,0.875,0.780281690140845,0.7908045977011494,0.7785933601995778,97.50194216519594,23.232412815093994,Conv,MIT
300,0.01,6,64,27.835849285125732,embedd-er,rdfs,0.7846153846153846,0.7718309859154929,0.7696031441717792,0.7699618403052775,107.32524974644184,27.834580898284912,Conv,MIT
300,0.01,6,64,25.248663663864136,embedd-er,rdfs,0.8,0.7899159663865546,0.7832950631458093,0.7849967478499674,99.80247719585896,25.247825384140015,Conv,MIT
300,0.01,6,64,259.2575991153717,embedd-er,rdfs,0.7638888888888888,0.7859154929577464,0.779665071770335,0.7814039408866995,70.70748496428132,259.25334215164185,GAT,MIT
300,0.01,6,64,256.3333625793457,embedd-er,rdfs,0.765,0.7492957746478873,0.7454326923076924,0.7460719308820575,80.84267566725612,256.3292279243469,GAT,MIT
300,0.01,6,64,260.25466871261597,embedd-er,rdfs,0.626984126984127,0.49859154929577465,0.5260262725779967,0.497151133180545,89.01217666361481,260.2508454322815,GAT,MIT
300,0.01,6,64,263.174352645874,embedd-er,rdfs,0.6759776536312849,0.6366197183098592,0.6371900562372188,0.6358800658349832,88.5793401747942,263.1702365875244,GAT,MIT
300,0.01,6,64,267.3193938732147,embedd-er,rdfs,0.8095238095238095,0.8011204481792717,0.7946804439341753,0.7964635879646359,87.73977492749691,267.31607389450073,GAT,MIT
300,0.01,6,64,39.05761480331421,embedd-er,rdfs,0.835820895522388,0.8450704225352113,0.8421052631578947,0.8434606226298615,38.98362540669041,39.05488181114197,SAGE,MIT
300,0.01,6,64,43.10709261894226,embedd-er,rdfs,0.8907103825136612,0.8535211267605634,0.855448717948718,0.852903678204883,41.3766088920529,43.10447645187378,SAGE,MIT
300,0.01,6,64,40.541966676712036,embedd-er,rdfs,0.9,0.8591549295774648,0.8596059113300492,0.8556910569105691,25.253757271981158,40.53905749320984,SAGE,MIT
300,0.01,6,64,39.25524830818176,embedd-er,rdfs,0.8366336633663366,0.8422535211267606,0.838877172801636,0.8403264152155754,37.886132070139865,39.25211691856384,SAGE,MIT
300,0.01,6,64,38.296061754226685,embedd-er,rdfs,0.89,0.8739495798319328,0.8722732491389207,0.8720052902886555,24.67030132321088,38.293229818344116,SAGE,MIT
