Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.001|1|16|0.42598576715519143|0.45688073394495415|0.4665718349928876|0.4597494097973638|0.43076107476796255|0.4686411149825784|0.4743954480796586|0.46993334846788204|6.250791814178228|1.6770985126495361
100|0.001|1|16|0.4242294252026977|0.4649805447470817|0.4743954480796586|0.46472311017121604|0.4279201714254495|0.4716636197440585|0.4779516358463727|0.471444814340589|6.202555717260111|3.422839879989624
150|0.001|1|16|0.41607498042326224|0.4691136974037601|0.45092460881934565|0.3987991846862815|0.4323919637238497|0.46160558464223383|0.43741109530583216|0.3754048524447275|7.356035281292861|5.138200998306274
200|0.001|1|16|0.4288833266897204|0.46551724137931033|0.47155049786628733|0.46747501028441046|0.4337840872990981|0.47540983606557374|0.4786628733997155|0.4763719097829627|6.12609368241101|6.731497287750244
50|0.001|2|16|0.3996102863363476|0.4636449480642115|0.44523470839260315|0.4072320415112697|0.4169642802943694|0.46710526315789475|0.45021337126600286|0.4114112260122447|6.134820040664636|3.5495152473449707
100|0.001|2|16|0.4208179130691671|0.4597602739726027|0.43314366998577525|0.36352663933145934|0.4229931061554929|0.45741056218057924|0.42887624466571833|0.3566830674731267|7.068246908893343|6.930619716644287
150|0.001|2|16|0.427003555176049|0.45318352059925093|0.42887624466571833|0.38760508588850906|0.4464609102626621|0.44986200551977923|0.422475106685633|0.3759240835692967|6.440669241346768|10.189979314804077
200|0.001|2|16|0.4289622406714568|0.4593147751605996|0.44594594594594594|0.43057539089408503|0.43976131555677866|0.4608150470219436|0.4466571834992888|0.4279890394912985|6.657126861260622|13.480935096740723
50|0.001|4|16|0.4046587577320526|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4305809890147691|0.45879354290569246|0.4310099573257468|0.3580494931969683|6.45589271139761|8.303741216659546
100|0.001|4|16|0.43760534510702964|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.45629075957742576|0.45879354290569246|0.4310099573257468|0.3580494931969683|6.452071444409739|16.53164291381836
150|0.001|4|16|0.4079630277878387|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4324931354953066|0.4602368866328257|0.43314366998577525|0.3587128268079055|7.720983991082903|25.107267141342163
200|0.001|4|16|0.4320317922174627|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.4454249113229424|0.4583333333333333|0.43029871977240397|0.35759425979133047|7.017891768648042|32.80106711387634
50|0.001|6|16|0.4370337245982975|0.46029035012809566|0.43385490753911804|0.36331302778681684|0.44762033876355956|0.4583333333333333|0.43029871977240397|0.35759425979133047|6.6209599647418145|12.948532819747925
100|0.001|6|16|0.40735397372366755|0.4616695059625213|0.4359886201991465|0.3646944863090778|0.4253989708807407|0.45826235093696766|0.43029871977240397|0.3582853512403169|6.373863358053654|26.746437072753906
150|0.001|6|16|0.41364685790829386|0.46121057118499575|0.4352773826458037|0.36423423177154524|0.4301742784935118|0.45971162001696353|0.43243243243243246|0.358959240341435|6.0170622348440475|39.65500831604004
200|0.001|6|16|0.43022891125009866|0.46035805626598464|0.43385490753911804|0.3626328066626574|0.44331244473491993|0.46062658763759523|0.43385490753911804|0.35986803572735926|6.508098100707457|52.82290720939636
50|0.01|1|16|0.4446519589890107|0.4640582347588717|0.4438122332859175|0.39589015505324116|0.46466373538320827|0.4594835262689225|0.4352773826458037|0.37994796815882376|1.116090911861999|1.6688621044158936
