Epochs|Learning rate|Layers|Channels|Validation AUC|Validation Precision|Validation Accuracy|Validation F1|Test AUC|Test Precision|Test Accuracy|Test F1|Loss|Duration
50|0.001|1|16|0.7866624738887267|0.75625|0.6943127962085308|0.6897819161970106|0.8074616473125041|0.7865853658536586|0.7227488151658767|0.7192665245202559|28.490158200263977|2.7860326766967773
100|0.001|1|16|0.7951753105276163|0.736318407960199|0.7251184834123223|0.7249640417116145|0.7973765189461154|0.7437185929648241|0.7298578199052133|0.7296392042261436|47.29619678854942|5.541173458099365
150|0.001|1|16|0.7696592619213405|0.7193877551020408|0.7037914691943128|0.7034167514716714|0.7740392174479458|0.7486910994764397|0.7251184834123223|0.7244996735778122|53.3789621964097|8.179115533828735
200|0.001|1|16|0.7568787763078098|0.7127659574468085|0.6895734597156398|0.6886485877615386|0.7761505806248736|0.734375|0.7132701421800948|0.7126877219043117|54.000245252624154|10.981411218643188
50|0.001|2|16|0.7777677949731587|0.7483443708609272|0.6777251184834123|0.6710758579583229|0.7927270276947957|0.7844311377245509|0.7251184834123223|0.7220973272475418|29.333619117736816|5.821067810058594
100|0.001|2|16|0.7913568877608319|0.7564766839378239|0.7345971563981043|0.7341134113411342|0.7941420902495451|0.7540106951871658|0.7251184834123223|0.7242265137345922|42.60257612168789|11.41470217704773
150|0.001|2|16|0.7786437860784797|0.732620320855615|0.7061611374407583|0.70520765261284|0.7885043013409403|0.7450980392156863|0.7369668246445498|0.7368944308703345|49.86159134656191|16.939284801483154
200|0.001|2|16|0.7643583926686283|0.7165775401069518|0.6919431279620853|0.6909435067715258|0.7850452595404417|0.7219512195121951|0.7156398104265402|0.7155823148813804|50.65329778706655|22.55795907974243
50|0.001|4|16|0.7540037285775252|0.7372262773722628|0.6540284360189573|0.6430524657026325|0.7934457896273668|0.7959183673469388|0.7061611374407583|0.6992436259971953|30.35186666250229|14.341722011566162
100|0.001|4|16|0.7845735720221918|0.7093023255813954|0.6706161137440758|0.6677786399188959|0.8203095168572134|0.7664670658682635|0.7109004739336493|0.7077230510706907|50.08895865082741|28.063656330108643
150|0.001|4|16|0.767660205296377|0.7071823204419889|0.6777251184834123|0.6760881343687918|0.8045192156510412|0.7360406091370558|0.7203791469194313|0.7200710559453138|59.28729894012213|41.38527798652649
200|0.001|4|16|0.7803733069787291|0.6974358974358974|0.6824644549763034|0.6820073329284477|0.8117966802183239|0.7401960784313726|0.7322274881516587|0.7321537899851153|55.713942769914865|53.97168493270874
50|0.001|6|16|0.7199299207115742|0.72|0.6303317535545023|0.6143138357705287|0.7739044495855889|0.8014184397163121|0.7014218009478673|0.6929739467849224|30.615820229053497|21.49613332748413
100|0.001|6|16|0.7732755328945891|0.7231638418079096|0.6872037914691943|0.6851600651112317|0.7719278542710182|0.717391304347826|0.6895734597156398|0.6882974824504525|53.59272849559784|42.3117401599884
150|0.001|6|16|0.8206688978234989|0.7539267015706806|0.7298578199052133|0.7292496792057812|0.8290020439792458|0.7539267015706806|0.7298578199052133|0.7292496792057812|67.02504906058311|66.26533532142639
200|0.001|6|16|0.7962534534264729|0.7204301075268817|0.6943127962085308|0.6932361841326731|0.8096853170413961|0.7276995305164319|0.7298578199052133|0.7298517520215633|77.99725532531738|87.67640042304993
50|0.01|1|16|0.7980952808786864|0.7647058823529411|0.7345971563981043|0.7337359442954683|0.8308663327418522|0.7945945945945946|0.7582938388625592|0.7573728354978355|25.636209100484848|2.8213424682617188
100|0.01|1|16|0.7333842456368904|0.6808510638297872|0.6611374407582938|0.6601278477091606|0.7537566541632039|0.7122641509433962|0.7132701421800948|0.7132685320889698|35.67120220884681|5.671798944473267
150|0.01|1|16|0.7301048943195346|0.6834170854271356|0.6729857819905213|0.6727211419579634|0.7546775678893107|0.7064676616915423|0.6966824644549763|0.696512046026609|38.38369581429288|8.419784307479858
200|0.01|1|16|0.7432447608993509|0.694300518134715|0.6777251184834123|0.6771377137713772|0.7600682823835943|0.7149532710280374|0.7180094786729858|0.7179952267303102|33.2175648038974|11.16903805732727
50|0.01|2|16|0.7735001459985177|0.7272727272727273|0.7014218009478673|0.700452937332402|0.7986792749489005|0.7722222222222223|0.7322274881516587|0.730774659417467|29.253524750471115|5.822967052459717
100|0.01|2|16|0.7660205296376991|0.7428571428571429|0.7014218009478673|0.699232979614001|0.780979762359336|0.7258883248730964|0.7109004739336493|0.7105819391976974|38.8024025131017|11.662685871124268
150|0.01|2|16|0.730643965768963|0.680628272251309|0.6635071090047393|0.6627496004142186|0.778756092630444|0.7075471698113207|0.7085308056872038|0.7085291689830022|31.51371176513203|17.51352310180664
200|0.01|2|16|0.7473551807012421|0.6847290640394089|0.6777251184834123|0.6776092573868105|0.778598863457694|0.7244897959183674|0.7085308056872038|0.7081620834481246|27.367619254931924|23.649099349975586
