Model|Accuracy|Params
Linear Regression|0.6507042253521127|None
SVM|0.5521126760563381|(1, 0.1, 'linear')
SVM|0.5521126760563381|(1, 0.01, 'linear')
SVM|0.5521126760563381|(1, 0.001, 'linear')
SVM|0.5521126760563381|(1, 0.0001, 'linear')
SVM|0.5521126760563381|(10, 0.1, 'linear')
SVM|0.5521126760563381|(10, 0.01, 'linear')
SVM|0.5521126760563381|(10, 0.001, 'linear')
SVM|0.5521126760563381|(10, 0.0001, 'linear')
SVM|0.5521126760563381|(100, 0.1, 'linear')
SVM|0.5521126760563381|(100, 0.01, 'linear')
SVM|0.5521126760563381|(100, 0.001, 'linear')
SVM|0.5521126760563381|(100, 0.0001, 'linear')
SVM|0.5521126760563381|(1000, 0.1, 'linear')
SVM|0.5521126760563381|(1000, 0.01, 'linear')
SVM|0.5521126760563381|(1000, 0.001, 'linear')
SVM|0.5521126760563381|(1000, 0.0001, 'linear')
RBF|0.5352112676056338|(1, 0.1, 'rbf')
RBF|0.5352112676056338|(1, 0.01, 'rbf')
RBF|0.7577464788732394|(1, 0.001, 'rbf')
RBF|0.704225352112676|(1, 0.0001, 'rbf')
RBF|0.5352112676056338|(10, 0.1, 'rbf')
RBF|0.5352112676056338|(10, 0.01, 'rbf')
RBF|0.7549295774647887|(10, 0.001, 'rbf')
RBF|0.7098591549295775|(10, 0.0001, 'rbf')
RBF|0.5352112676056338|(100, 0.1, 'rbf')
RBF|0.5352112676056338|(100, 0.01, 'rbf')
RBF|0.7549295774647887|(100, 0.001, 'rbf')
RBF|0.6676056338028169|(100, 0.0001, 'rbf')
RBF|0.5352112676056338|(1000, 0.1, 'rbf')
RBF|0.5352112676056338|(1000, 0.01, 'rbf')
RBF|0.7549295774647887|(1000, 0.001, 'rbf')
RBF|0.6676056338028169|(1000, 0.0001, 'rbf')
RF|0.6394366197183099|(0, 1, 50, 'gini')
RF|0.6366197183098592|(0, 1, 50, 'entropy')
RF|0.6366197183098592|(0, 1, 50, 'log_loss')
RF|0.6309859154929578|(0, 1, 100, 'gini')
RF|0.6338028169014085|(0, 1, 100, 'entropy')
RF|0.6338028169014085|(0, 1, 100, 'log_loss')
RF|0.6309859154929578|(0, 1, 150, 'gini')
RF|0.6366197183098592|(0, 1, 150, 'entropy')
RF|0.6366197183098592|(0, 1, 150, 'log_loss')
RF|0.6394366197183099|(0, 1, 200, 'gini')
RF|0.6338028169014085|(0, 1, 200, 'entropy')
RF|0.6338028169014085|(0, 1, 200, 'log_loss')
RF|0.676056338028169|(0, 2, 50, 'gini')
RF|0.6732394366197183|(0, 2, 50, 'entropy')
RF|0.6732394366197183|(0, 2, 50, 'log_loss')
RF|0.6845070422535211|(0, 2, 100, 'gini')
RF|0.6816901408450704|(0, 2, 100, 'entropy')
RF|0.6816901408450704|(0, 2, 100, 'log_loss')
RF|0.6845070422535211|(0, 2, 150, 'gini')
RF|0.6816901408450704|(0, 2, 150, 'entropy')
RF|0.6816901408450704|(0, 2, 150, 'log_loss')
RF|0.6788732394366197|(0, 2, 200, 'gini')
RF|0.6704225352112676|(0, 2, 200, 'entropy')
RF|0.6704225352112676|(0, 2, 200, 'log_loss')
RF|0.7014084507042253|(0, 5, 50, 'gini')
RF|0.6873239436619718|(0, 5, 50, 'entropy')
RF|0.6873239436619718|(0, 5, 50, 'log_loss')
RF|0.7070422535211267|(0, 5, 100, 'gini')
RF|0.704225352112676|(0, 5, 100, 'entropy')
RF|0.704225352112676|(0, 5, 100, 'log_loss')
RF|0.704225352112676|(0, 5, 150, 'gini')
RF|0.6957746478873239|(0, 5, 150, 'entropy')
RF|0.6957746478873239|(0, 5, 150, 'log_loss')
RF|0.7014084507042253|(0, 5, 200, 'gini')
RF|0.6957746478873239|(0, 5, 200, 'entropy')
RF|0.6957746478873239|(0, 5, 200, 'log_loss')
RF|0.6985915492957746|(0, 10, 50, 'gini')
RF|0.6704225352112676|(0, 10, 50, 'entropy')
RF|0.6704225352112676|(0, 10, 50, 'log_loss')
RF|0.704225352112676|(0, 10, 100, 'gini')
RF|0.6732394366197183|(0, 10, 100, 'entropy')
RF|0.6732394366197183|(0, 10, 100, 'log_loss')
RF|0.6985915492957746|(0, 10, 150, 'gini')
RF|0.6901408450704225|(0, 10, 150, 'entropy')
RF|0.6901408450704225|(0, 10, 150, 'log_loss')
RF|0.676056338028169|(0, 10, 200, 'gini')
RF|0.6957746478873239|(0, 10, 200, 'entropy')
RF|0.6957746478873239|(0, 10, 200, 'log_loss')
Linear Regression|0.6507042253521127|None
SVM|0.5915492957746479|(1, 0.1, 'linear')
SVM|0.5915492957746479|(1, 0.01, 'linear')
SVM|0.5915492957746479|(1, 0.001, 'linear')
SVM|0.5915492957746479|(1, 0.0001, 'linear')
SVM|0.5915492957746479|(10, 0.1, 'linear')
SVM|0.5915492957746479|(10, 0.01, 'linear')
SVM|0.5915492957746479|(10, 0.001, 'linear')
SVM|0.5915492957746479|(10, 0.0001, 'linear')
SVM|0.5915492957746479|(100, 0.1, 'linear')
SVM|0.5915492957746479|(100, 0.01, 'linear')
SVM|0.5915492957746479|(100, 0.001, 'linear')
SVM|0.5915492957746479|(100, 0.0001, 'linear')
SVM|0.5915492957746479|(1000, 0.1, 'linear')
SVM|0.5915492957746479|(1000, 0.01, 'linear')
SVM|0.5915492957746479|(1000, 0.001, 'linear')
SVM|0.5915492957746479|(1000, 0.0001, 'linear')
RBF|0.5492957746478874|(1, 0.1, 'rbf')
RBF|0.5492957746478874|(1, 0.01, 'rbf')
RBF|0.8|(1, 0.001, 'rbf')
RBF|0.7577464788732394|(1, 0.0001, 'rbf')
RBF|0.5492957746478874|(10, 0.1, 'rbf')
RBF|0.5492957746478874|(10, 0.01, 'rbf')
RBF|0.7830985915492957|(10, 0.001, 'rbf')
RBF|0.7605633802816901|(10, 0.0001, 'rbf')
RBF|0.5492957746478874|(100, 0.1, 'rbf')
RBF|0.5492957746478874|(100, 0.01, 'rbf')
RBF|0.7830985915492957|(100, 0.001, 'rbf')
RBF|0.7380281690140845|(100, 0.0001, 'rbf')
RBF|0.5492957746478874|(1000, 0.1, 'rbf')
RBF|0.5492957746478874|(1000, 0.01, 'rbf')
RBF|0.7830985915492957|(1000, 0.001, 'rbf')
RBF|0.7408450704225352|(1000, 0.0001, 'rbf')
RF|0.6704225352112676|(0, 1, 50, 'gini')
RF|0.6676056338028169|(0, 1, 50, 'entropy')
RF|0.6676056338028169|(0, 1, 50, 'log_loss')
RF|0.6676056338028169|(0, 1, 100, 'gini')
RF|0.6647887323943662|(0, 1, 100, 'entropy')
RF|0.6647887323943662|(0, 1, 100, 'log_loss')
RF|0.6647887323943662|(0, 1, 150, 'gini')
RF|0.6647887323943662|(0, 1, 150, 'entropy')
RF|0.6647887323943662|(0, 1, 150, 'log_loss')
RF|0.6788732394366197|(0, 1, 200, 'gini')
RF|0.676056338028169|(0, 1, 200, 'entropy')
RF|0.676056338028169|(0, 1, 200, 'log_loss')
RF|0.6845070422535211|(0, 2, 50, 'gini')
RF|0.6845070422535211|(0, 2, 50, 'entropy')
RF|0.6845070422535211|(0, 2, 50, 'log_loss')
RF|0.6845070422535211|(0, 2, 100, 'gini')
RF|0.6845070422535211|(0, 2, 100, 'entropy')
RF|0.6845070422535211|(0, 2, 100, 'log_loss')
RF|0.6901408450704225|(0, 2, 150, 'gini')
RF|0.6957746478873239|(0, 2, 150, 'entropy')
RF|0.6957746478873239|(0, 2, 150, 'log_loss')
RF|0.6929577464788732|(0, 2, 200, 'gini')
RF|0.6873239436619718|(0, 2, 200, 'entropy')
RF|0.6873239436619718|(0, 2, 200, 'log_loss')
RF|0.7211267605633803|(0, 5, 50, 'gini')
RF|0.7295774647887324|(0, 5, 50, 'entropy')
RF|0.7295774647887324|(0, 5, 50, 'log_loss')
RF|0.7295774647887324|(0, 5, 100, 'gini')
RF|0.7295774647887324|(0, 5, 100, 'entropy')
RF|0.7295774647887324|(0, 5, 100, 'log_loss')
RF|0.7323943661971831|(0, 5, 150, 'gini')
RF|0.7352112676056338|(0, 5, 150, 'entropy')
RF|0.7352112676056338|(0, 5, 150, 'log_loss')
RF|0.7436619718309859|(0, 5, 200, 'gini')
RF|0.7436619718309859|(0, 5, 200, 'entropy')
RF|0.7436619718309859|(0, 5, 200, 'log_loss')
RF|0.7352112676056338|(0, 10, 50, 'gini')
RF|0.7295774647887324|(0, 10, 50, 'entropy')
RF|0.7295774647887324|(0, 10, 50, 'log_loss')
RF|0.7577464788732394|(0, 10, 100, 'gini')
RF|0.7408450704225352|(0, 10, 100, 'entropy')
RF|0.7408450704225352|(0, 10, 100, 'log_loss')
RF|0.7492957746478873|(0, 10, 150, 'gini')
RF|0.7408450704225352|(0, 10, 150, 'entropy')
RF|0.7408450704225352|(0, 10, 150, 'log_loss')
RF|0.752112676056338|(0, 10, 200, 'gini')
RF|0.7408450704225352|(0, 10, 200, 'entropy')
RF|0.7408450704225352|(0, 10, 200, 'log_loss')
Linear Regression|0.6732394366197183|None
SVM|0.5774647887323944|(1, 0.1, 'linear')
SVM|0.5774647887323944|(1, 0.01, 'linear')
SVM|0.5774647887323944|(1, 0.001, 'linear')
SVM|0.5774647887323944|(1, 0.0001, 'linear')
SVM|0.5774647887323944|(10, 0.1, 'linear')
SVM|0.5774647887323944|(10, 0.01, 'linear')
SVM|0.5774647887323944|(10, 0.001, 'linear')
SVM|0.5774647887323944|(10, 0.0001, 'linear')
SVM|0.5774647887323944|(100, 0.1, 'linear')
SVM|0.5774647887323944|(100, 0.01, 'linear')
SVM|0.5774647887323944|(100, 0.001, 'linear')
SVM|0.5774647887323944|(100, 0.0001, 'linear')
SVM|0.5774647887323944|(1000, 0.1, 'linear')
SVM|0.5774647887323944|(1000, 0.01, 'linear')
SVM|0.5774647887323944|(1000, 0.001, 'linear')
SVM|0.5774647887323944|(1000, 0.0001, 'linear')
RBF|0.5915492957746479|(1, 0.1, 'rbf')
RBF|0.5915492957746479|(1, 0.01, 'rbf')
RBF|0.7774647887323943|(1, 0.001, 'rbf')
RBF|0.7577464788732394|(1, 0.0001, 'rbf')
RBF|0.5915492957746479|(10, 0.1, 'rbf')
RBF|0.5915492957746479|(10, 0.01, 'rbf')
RBF|0.7577464788732394|(10, 0.001, 'rbf')
RBF|0.7492957746478873|(10, 0.0001, 'rbf')
RBF|0.5915492957746479|(100, 0.1, 'rbf')
RBF|0.5915492957746479|(100, 0.01, 'rbf')
RBF|0.7577464788732394|(100, 0.001, 'rbf')
RBF|0.723943661971831|(100, 0.0001, 'rbf')
RBF|0.5915492957746479|(1000, 0.1, 'rbf')
RBF|0.5915492957746479|(1000, 0.01, 'rbf')
