Model|Accuracy|Params
Linear Regression|0.6779661016949152|None
SVM|0.6271186440677966|(1, 0.1, 'linear')
SVM|0.6271186440677966|(1, 0.01, 'linear')
SVM|0.6271186440677966|(1, 0.001, 'linear')
SVM|0.6271186440677966|(1, 0.0001, 'linear')
SVM|0.6271186440677966|(10, 0.1, 'linear')
SVM|0.6271186440677966|(10, 0.01, 'linear')
SVM|0.6271186440677966|(10, 0.001, 'linear')
SVM|0.6271186440677966|(10, 0.0001, 'linear')
SVM|0.6271186440677966|(100, 0.1, 'linear')
SVM|0.6271186440677966|(100, 0.01, 'linear')
SVM|0.6271186440677966|(100, 0.001, 'linear')
SVM|0.6271186440677966|(100, 0.0001, 'linear')
SVM|0.6271186440677966|(1000, 0.1, 'linear')
SVM|0.6271186440677966|(1000, 0.01, 'linear')
SVM|0.6271186440677966|(1000, 0.001, 'linear')
SVM|0.6271186440677966|(1000, 0.0001, 'linear')
RBF|0.5480225988700564|(1, 0.1, 'rbf')
RBF|0.5480225988700564|(1, 0.01, 'rbf')
RBF|0.7966101694915254|(1, 0.001, 'rbf')
RBF|0.7570621468926554|(1, 0.0001, 'rbf')
RBF|0.5480225988700564|(10, 0.1, 'rbf')
RBF|0.5480225988700564|(10, 0.01, 'rbf')
RBF|0.807909604519774|(10, 0.001, 'rbf')
RBF|0.7824858757062146|(10, 0.0001, 'rbf')
RBF|0.5480225988700564|(100, 0.1, 'rbf')
RBF|0.5480225988700564|(100, 0.01, 'rbf')
RBF|0.807909604519774|(100, 0.001, 'rbf')
RBF|0.7372881355932204|(100, 0.0001, 'rbf')
RBF|0.5480225988700564|(1000, 0.1, 'rbf')
RBF|0.5480225988700564|(1000, 0.01, 'rbf')
RBF|0.807909604519774|(1000, 0.001, 'rbf')
RBF|0.7344632768361582|(1000, 0.0001, 'rbf')
RF|0.6610169491525424|(0, 1, 50, 'gini')
RF|0.655367231638418|(0, 1, 50, 'entropy')
RF|0.655367231638418|(0, 1, 50, 'log_loss')
RF|0.6581920903954802|(0, 1, 100, 'gini')
RF|0.655367231638418|(0, 1, 100, 'entropy')
RF|0.655367231638418|(0, 1, 100, 'log_loss')
RF|0.652542372881356|(0, 1, 150, 'gini')
RF|0.652542372881356|(0, 1, 150, 'entropy')
RF|0.652542372881356|(0, 1, 150, 'log_loss')
RF|0.655367231638418|(0, 1, 200, 'gini')
RF|0.652542372881356|(0, 1, 200, 'entropy')
RF|0.652542372881356|(0, 1, 200, 'log_loss')
RF|0.6892655367231638|(0, 2, 50, 'gini')
RF|0.6779661016949152|(0, 2, 50, 'entropy')
RF|0.6779661016949152|(0, 2, 50, 'log_loss')
RF|0.6864406779661016|(0, 2, 100, 'gini')
RF|0.692090395480226|(0, 2, 100, 'entropy')
RF|0.692090395480226|(0, 2, 100, 'log_loss')
RF|0.6864406779661016|(0, 2, 150, 'gini')
RF|0.6892655367231638|(0, 2, 150, 'entropy')
RF|0.6892655367231638|(0, 2, 150, 'log_loss')
RF|0.6892655367231638|(0, 2, 200, 'gini')
RF|0.6864406779661016|(0, 2, 200, 'entropy')
RF|0.6864406779661016|(0, 2, 200, 'log_loss')
RF|0.7542372881355932|(0, 5, 50, 'gini')
RF|0.7175141242937854|(0, 5, 50, 'entropy')
RF|0.7175141242937854|(0, 5, 50, 'log_loss')
RF|0.7457627118644068|(0, 5, 100, 'gini')
RF|0.7429378531073446|(0, 5, 100, 'entropy')
RF|0.7429378531073446|(0, 5, 100, 'log_loss')
RF|0.7401129943502824|(0, 5, 150, 'gini')
RF|0.7344632768361582|(0, 5, 150, 'entropy')
RF|0.7344632768361582|(0, 5, 150, 'log_loss')
RF|0.7429378531073446|(0, 5, 200, 'gini')
RF|0.7429378531073446|(0, 5, 200, 'entropy')
RF|0.7429378531073446|(0, 5, 200, 'log_loss')
RF|0.7203389830508474|(0, 10, 50, 'gini')
RF|0.7203389830508474|(0, 10, 50, 'entropy')
RF|0.7203389830508474|(0, 10, 50, 'log_loss')
RF|0.7344632768361582|(0, 10, 100, 'gini')
RF|0.7457627118644068|(0, 10, 100, 'entropy')
RF|0.7457627118644068|(0, 10, 100, 'log_loss')
RF|0.7288135593220338|(0, 10, 150, 'gini')
RF|0.7288135593220338|(0, 10, 150, 'entropy')
RF|0.7288135593220338|(0, 10, 150, 'log_loss')
RF|0.731638418079096|(0, 10, 200, 'gini')
RF|0.731638418079096|(0, 10, 200, 'entropy')
RF|0.731638418079096|(0, 10, 200, 'log_loss')
Linear Regression|0.6271186440677966|None
SVM|0.5621468926553672|(1, 0.1, 'linear')
SVM|0.5621468926553672|(1, 0.01, 'linear')
SVM|0.5621468926553672|(1, 0.001, 'linear')
SVM|0.5621468926553672|(1, 0.0001, 'linear')
SVM|0.5621468926553672|(10, 0.1, 'linear')
SVM|0.5621468926553672|(10, 0.01, 'linear')
SVM|0.5621468926553672|(10, 0.001, 'linear')
SVM|0.5621468926553672|(10, 0.0001, 'linear')
SVM|0.5621468926553672|(100, 0.1, 'linear')
SVM|0.5621468926553672|(100, 0.01, 'linear')
SVM|0.5621468926553672|(100, 0.001, 'linear')
SVM|0.5621468926553672|(100, 0.0001, 'linear')
SVM|0.556497175141243|(1000, 0.1, 'linear')
SVM|0.556497175141243|(1000, 0.01, 'linear')
SVM|0.556497175141243|(1000, 0.001, 'linear')
SVM|0.556497175141243|(1000, 0.0001, 'linear')
RBF|0.5480225988700564|(1, 0.1, 'rbf')
RBF|0.5480225988700564|(1, 0.01, 'rbf')
RBF|0.7966101694915254|(1, 0.001, 'rbf')
RBF|0.7288135593220338|(1, 0.0001, 'rbf')
RBF|0.5480225988700564|(10, 0.1, 'rbf')
RBF|0.5480225988700564|(10, 0.01, 'rbf')
RBF|0.7937853107344632|(10, 0.001, 'rbf')
RBF|0.7598870056497176|(10, 0.0001, 'rbf')
RBF|0.5480225988700564|(100, 0.1, 'rbf')
RBF|0.5480225988700564|(100, 0.01, 'rbf')
RBF|0.7937853107344632|(100, 0.001, 'rbf')
RBF|0.7429378531073446|(100, 0.0001, 'rbf')
RBF|0.5480225988700564|(1000, 0.1, 'rbf')
RBF|0.5480225988700564|(1000, 0.01, 'rbf')
RBF|0.7937853107344632|(1000, 0.001, 'rbf')
RBF|0.7401129943502824|(1000, 0.0001, 'rbf')
RF|0.655367231638418|(0, 1, 50, 'gini')
RF|0.652542372881356|(0, 1, 50, 'entropy')
RF|0.652542372881356|(0, 1, 50, 'log_loss')
RF|0.6610169491525424|(0, 1, 100, 'gini')
RF|0.652542372881356|(0, 1, 100, 'entropy')
RF|0.652542372881356|(0, 1, 100, 'log_loss')
RF|0.6468926553672316|(0, 1, 150, 'gini')
RF|0.6440677966101694|(0, 1, 150, 'entropy')
RF|0.6440677966101694|(0, 1, 150, 'log_loss')
RF|0.652542372881356|(0, 1, 200, 'gini')
RF|0.652542372881356|(0, 1, 200, 'entropy')
RF|0.652542372881356|(0, 1, 200, 'log_loss')
RF|0.6694915254237288|(0, 2, 50, 'gini')
RF|0.6779661016949152|(0, 2, 50, 'entropy')
RF|0.6779661016949152|(0, 2, 50, 'log_loss')
RF|0.6779661016949152|(0, 2, 100, 'gini')
RF|0.672316384180791|(0, 2, 100, 'entropy')
RF|0.672316384180791|(0, 2, 100, 'log_loss')
RF|0.6779661016949152|(0, 2, 150, 'gini')
RF|0.6779661016949152|(0, 2, 150, 'entropy')
RF|0.6779661016949152|(0, 2, 150, 'log_loss')
RF|0.672316384180791|(0, 2, 200, 'gini')
RF|0.6666666666666666|(0, 2, 200, 'entropy')
RF|0.6666666666666666|(0, 2, 200, 'log_loss')
RF|0.6864406779661016|(0, 5, 50, 'gini')
RF|0.6949152542372882|(0, 5, 50, 'entropy')
RF|0.6949152542372882|(0, 5, 50, 'log_loss')
RF|0.6892655367231638|(0, 5, 100, 'gini')
RF|0.7033898305084746|(0, 5, 100, 'entropy')
RF|0.7033898305084746|(0, 5, 100, 'log_loss')
RF|0.6949152542372882|(0, 5, 150, 'gini')
RF|0.692090395480226|(0, 5, 150, 'entropy')
RF|0.692090395480226|(0, 5, 150, 'log_loss')
RF|0.692090395480226|(0, 5, 200, 'gini')
RF|0.6892655367231638|(0, 5, 200, 'entropy')
RF|0.6892655367231638|(0, 5, 200, 'log_loss')
RF|0.6892655367231638|(0, 10, 50, 'gini')
RF|0.6807909604519774|(0, 10, 50, 'entropy')
RF|0.6807909604519774|(0, 10, 50, 'log_loss')
RF|0.6892655367231638|(0, 10, 100, 'gini')
RF|0.6977401129943502|(0, 10, 100, 'entropy')
RF|0.6977401129943502|(0, 10, 100, 'log_loss')
RF|0.6892655367231638|(0, 10, 150, 'gini')
RF|0.7033898305084746|(0, 10, 150, 'entropy')
RF|0.7033898305084746|(0, 10, 150, 'log_loss')
RF|0.692090395480226|(0, 10, 200, 'gini')
RF|0.7062146892655368|(0, 10, 200, 'entropy')
RF|0.7062146892655368|(0, 10, 200, 'log_loss')
Linear Regression|0.6440677966101694|None
