Model|Accuracy|Params
Linear Regression|0.741106719367589|None
SVM|0.6462450592885376|(1, 0.1, 'linear')
SVM|0.6462450592885376|(1, 0.01, 'linear')
SVM|0.6462450592885376|(1, 0.001, 'linear')
SVM|0.6462450592885376|(1, 0.0001, 'linear')
SVM|0.6462450592885376|(10, 0.1, 'linear')
SVM|0.6462450592885376|(10, 0.01, 'linear')
SVM|0.6462450592885376|(10, 0.001, 'linear')
SVM|0.6462450592885376|(10, 0.0001, 'linear')
SVM|0.6462450592885376|(100, 0.1, 'linear')
SVM|0.6462450592885376|(100, 0.01, 'linear')
SVM|0.6462450592885376|(100, 0.001, 'linear')
SVM|0.6462450592885376|(100, 0.0001, 'linear')
SVM|0.6462450592885376|(1000, 0.1, 'linear')
SVM|0.6462450592885376|(1000, 0.01, 'linear')
SVM|0.6462450592885376|(1000, 0.001, 'linear')
SVM|0.6462450592885376|(1000, 0.0001, 'linear')
RBF|0.5632411067193676|(1, 0.1, 'rbf')
RBF|0.5632411067193676|(1, 0.01, 'rbf')
RBF|0.8656126482213439|(1, 0.001, 'rbf')
RBF|0.7786561264822134|(1, 0.0001, 'rbf')
RBF|0.5632411067193676|(10, 0.1, 'rbf')
RBF|0.5632411067193676|(10, 0.01, 'rbf')
RBF|0.8735177865612648|(10, 0.001, 'rbf')
RBF|0.8260869565217391|(10, 0.0001, 'rbf')
RBF|0.5632411067193676|(100, 0.1, 'rbf')
RBF|0.5632411067193676|(100, 0.01, 'rbf')
RBF|0.8735177865612648|(100, 0.001, 'rbf')
RBF|0.8201581027667985|(100, 0.0001, 'rbf')
RBF|0.5632411067193676|(1000, 0.1, 'rbf')
RBF|0.5632411067193676|(1000, 0.01, 'rbf')
RBF|0.8735177865612648|(1000, 0.001, 'rbf')
RBF|0.8181818181818182|(1000, 0.0001, 'rbf')
RF|0.691699604743083|(0, 1, 50, 'gini')
RF|0.691699604743083|(0, 1, 50, 'entropy')
RF|0.691699604743083|(0, 1, 50, 'log_loss')
RF|0.7075098814229249|(0, 1, 100, 'gini')
RF|0.7035573122529645|(0, 1, 100, 'entropy')
RF|0.7035573122529645|(0, 1, 100, 'log_loss')
RF|0.7075098814229249|(0, 1, 150, 'gini')
RF|0.7055335968379447|(0, 1, 150, 'entropy')
RF|0.7055335968379447|(0, 1, 150, 'log_loss')
RF|0.7094861660079052|(0, 1, 200, 'gini')
RF|0.7134387351778656|(0, 1, 200, 'entropy')
RF|0.7134387351778656|(0, 1, 200, 'log_loss')
RF|0.6976284584980237|(0, 2, 50, 'gini')
RF|0.6936758893280632|(0, 2, 50, 'entropy')
RF|0.6936758893280632|(0, 2, 50, 'log_loss')
RF|0.7114624505928854|(0, 2, 100, 'gini')
RF|0.7094861660079052|(0, 2, 100, 'entropy')
RF|0.7094861660079052|(0, 2, 100, 'log_loss')
RF|0.7213438735177866|(0, 2, 150, 'gini')
RF|0.7213438735177866|(0, 2, 150, 'entropy')
RF|0.7213438735177866|(0, 2, 150, 'log_loss')
RF|0.7252964426877471|(0, 2, 200, 'gini')
RF|0.7312252964426877|(0, 2, 200, 'entropy')
RF|0.7312252964426877|(0, 2, 200, 'log_loss')
RF|0.7391304347826086|(0, 5, 50, 'gini')
RF|0.733201581027668|(0, 5, 50, 'entropy')
RF|0.733201581027668|(0, 5, 50, 'log_loss')
RF|0.7628458498023716|(0, 5, 100, 'gini')
RF|0.7351778656126482|(0, 5, 100, 'entropy')
RF|0.7351778656126482|(0, 5, 100, 'log_loss')
RF|0.766798418972332|(0, 5, 150, 'gini')
RF|0.7371541501976284|(0, 5, 150, 'entropy')
RF|0.7371541501976284|(0, 5, 150, 'log_loss')
RF|0.7549407114624506|(0, 5, 200, 'gini')
RF|0.7430830039525692|(0, 5, 200, 'entropy')
RF|0.7430830039525692|(0, 5, 200, 'log_loss')
RF|0.7687747035573123|(0, 10, 50, 'gini')
RF|0.7608695652173914|(0, 10, 50, 'entropy')
RF|0.7608695652173914|(0, 10, 50, 'log_loss')
RF|0.7766798418972332|(0, 10, 100, 'gini')
RF|0.766798418972332|(0, 10, 100, 'entropy')
RF|0.766798418972332|(0, 10, 100, 'log_loss')
RF|0.782608695652174|(0, 10, 150, 'gini')
RF|0.7747035573122529|(0, 10, 150, 'entropy')
RF|0.7747035573122529|(0, 10, 150, 'log_loss')
RF|0.782608695652174|(0, 10, 200, 'gini')
RF|0.7727272727272727|(0, 10, 200, 'entropy')
RF|0.7727272727272727|(0, 10, 200, 'log_loss')
Linear Regression|0.7213438735177866|None
SVM|0.642292490118577|(1, 0.1, 'linear')
SVM|0.642292490118577|(1, 0.01, 'linear')
SVM|0.642292490118577|(1, 0.001, 'linear')
SVM|0.642292490118577|(1, 0.0001, 'linear')
SVM|0.642292490118577|(10, 0.1, 'linear')
SVM|0.642292490118577|(10, 0.01, 'linear')
SVM|0.642292490118577|(10, 0.001, 'linear')
SVM|0.642292490118577|(10, 0.0001, 'linear')
SVM|0.642292490118577|(100, 0.1, 'linear')
SVM|0.642292490118577|(100, 0.01, 'linear')
SVM|0.642292490118577|(100, 0.001, 'linear')
SVM|0.642292490118577|(100, 0.0001, 'linear')
SVM|0.642292490118577|(1000, 0.1, 'linear')
SVM|0.642292490118577|(1000, 0.01, 'linear')
SVM|0.642292490118577|(1000, 0.001, 'linear')
SVM|0.642292490118577|(1000, 0.0001, 'linear')
RBF|0.549407114624506|(1, 0.1, 'rbf')
RBF|0.549407114624506|(1, 0.01, 'rbf')
RBF|0.8102766798418972|(1, 0.001, 'rbf')
RBF|0.766798418972332|(1, 0.0001, 'rbf')
RBF|0.549407114624506|(10, 0.1, 'rbf')
RBF|0.549407114624506|(10, 0.01, 'rbf')
RBF|0.8260869565217391|(10, 0.001, 'rbf')
RBF|0.8063241106719368|(10, 0.0001, 'rbf')
RBF|0.549407114624506|(100, 0.1, 'rbf')
RBF|0.549407114624506|(100, 0.01, 'rbf')
RBF|0.8260869565217391|(100, 0.001, 'rbf')
RBF|0.7865612648221344|(100, 0.0001, 'rbf')
RBF|0.549407114624506|(1000, 0.1, 'rbf')
RBF|0.549407114624506|(1000, 0.01, 'rbf')
RBF|0.8260869565217391|(1000, 0.001, 'rbf')
RBF|0.7924901185770751|(1000, 0.0001, 'rbf')
RF|0.6897233201581028|(0, 1, 50, 'gini')
RF|0.691699604743083|(0, 1, 50, 'entropy')
RF|0.691699604743083|(0, 1, 50, 'log_loss')
RF|0.6897233201581028|(0, 1, 100, 'gini')
RF|0.6857707509881423|(0, 1, 100, 'entropy')
RF|0.6857707509881423|(0, 1, 100, 'log_loss')
RF|0.7055335968379447|(0, 1, 150, 'gini')
RF|0.7035573122529645|(0, 1, 150, 'entropy')
RF|0.7035573122529645|(0, 1, 150, 'log_loss')
RF|0.7094861660079052|(0, 1, 200, 'gini')
RF|0.6996047430830039|(0, 1, 200, 'entropy')
RF|0.6996047430830039|(0, 1, 200, 'log_loss')
RF|0.7094861660079052|(0, 2, 50, 'gini')
RF|0.7114624505928854|(0, 2, 50, 'entropy')
RF|0.7114624505928854|(0, 2, 50, 'log_loss')
RF|0.7154150197628458|(0, 2, 100, 'gini')
RF|0.7075098814229249|(0, 2, 100, 'entropy')
RF|0.7075098814229249|(0, 2, 100, 'log_loss')
RF|0.7154150197628458|(0, 2, 150, 'gini')
RF|0.7193675889328063|(0, 2, 150, 'entropy')
RF|0.7193675889328063|(0, 2, 150, 'log_loss')
RF|0.7094861660079052|(0, 2, 200, 'gini')
RF|0.7193675889328063|(0, 2, 200, 'entropy')
RF|0.7193675889328063|(0, 2, 200, 'log_loss')
RF|0.7272727272727273|(0, 5, 50, 'gini')
RF|0.7292490118577075|(0, 5, 50, 'entropy')
RF|0.7292490118577075|(0, 5, 50, 'log_loss')
RF|0.7233201581027668|(0, 5, 100, 'gini')
RF|0.7549407114624506|(0, 5, 100, 'entropy')
RF|0.7549407114624506|(0, 5, 100, 'log_loss')
RF|0.7312252964426877|(0, 5, 150, 'gini')
RF|0.733201581027668|(0, 5, 150, 'entropy')
RF|0.733201581027668|(0, 5, 150, 'log_loss')
RF|0.733201581027668|(0, 5, 200, 'gini')
RF|0.7391304347826086|(0, 5, 200, 'entropy')
RF|0.7391304347826086|(0, 5, 200, 'log_loss')
RF|0.7272727272727273|(0, 10, 50, 'gini')
RF|0.7094861660079052|(0, 10, 50, 'entropy')
RF|0.7094861660079052|(0, 10, 50, 'log_loss')
RF|0.7292490118577075|(0, 10, 100, 'gini')
RF|0.733201581027668|(0, 10, 100, 'entropy')
RF|0.733201581027668|(0, 10, 100, 'log_loss')
RF|0.7371541501976284|(0, 10, 150, 'gini')
RF|0.7470355731225297|(0, 10, 150, 'entropy')
RF|0.7470355731225297|(0, 10, 150, 'log_loss')
RF|0.7391304347826086|(0, 10, 200, 'gini')
RF|0.7529644268774703|(0, 10, 200, 'entropy')
RF|0.7529644268774703|(0, 10, 200, 'log_loss')
Linear Regression|0.7312252964426877|None
SVM|0.6462450592885376|(1, 0.1, 'linear')
SVM|0.6462450592885376|(1, 0.01, 'linear')
SVM|0.6462450592885376|(1, 0.001, 'linear')
SVM|0.6462450592885376|(1, 0.0001, 'linear')
SVM|0.6462450592885376|(10, 0.1, 'linear')
SVM|0.6462450592885376|(10, 0.01, 'linear')
SVM|0.6462450592885376|(10, 0.001, 'linear')
SVM|0.6462450592885376|(10, 0.0001, 'linear')
SVM|0.6462450592885376|(100, 0.1, 'linear')
SVM|0.6462450592885376|(100, 0.01, 'linear')
