Model|Accuracy|Params|Embedding
Linear Regression|0.5679347826086957|None|FastText
SVM|0.4592391304347826|(10, 0.01, 'linear')|FastText
RBF|0.5652173913043478|(1, 0.1, 'rbf')|FastText
RBF|0.7472826086956522|(1, 0.01, 'rbf')|FastText
RBF|0.717391304347826|(1, 0.001, 'rbf')|FastText
RBF|0.5652173913043478|(10, 0.1, 'rbf')|FastText
RBF|0.7527173913043478|(10, 0.01, 'rbf')|FastText
RBF|0.7690217391304348|(10, 0.001, 'rbf')|FastText
RBF|0.5652173913043478|(100, 0.1, 'rbf')|FastText
RBF|0.7527173913043478|(100, 0.01, 'rbf')|FastText
RBF|0.7527173913043478|(100, 0.001, 'rbf')|FastText
RF|0.5652173913043478|(0, 1, 50, 'gini')|FastText
RF|0.5652173913043478|(0, 1, 50, 'entropy')|FastText
RF|0.5652173913043478|(0, 1, 50, 'log_loss')|FastText
RF|0.5652173913043478|(0, 1, 100, 'gini')|FastText
RF|0.5652173913043478|(0, 1, 100, 'entropy')|FastText
RF|0.5652173913043478|(0, 1, 100, 'log_loss')|FastText
RF|0.5652173913043478|(0, 1, 150, 'gini')|FastText
RF|0.5652173913043478|(0, 1, 150, 'entropy')|FastText
RF|0.5652173913043478|(0, 1, 150, 'log_loss')|FastText
RF|0.5652173913043478|(0, 1, 200, 'gini')|FastText
RF|0.5652173913043478|(0, 1, 200, 'entropy')|FastText
RF|0.5652173913043478|(0, 1, 200, 'log_loss')|FastText
RF|0.5733695652173914|(0, 2, 50, 'gini')|FastText
RF|0.5788043478260869|(0, 2, 50, 'entropy')|FastText
RF|0.5788043478260869|(0, 2, 50, 'log_loss')|FastText
RF|0.5733695652173914|(0, 2, 100, 'gini')|FastText
RF|0.5706521739130435|(0, 2, 100, 'entropy')|FastText
RF|0.5706521739130435|(0, 2, 100, 'log_loss')|FastText
RF|0.5652173913043478|(0, 2, 150, 'gini')|FastText
RF|0.5679347826086957|(0, 2, 150, 'entropy')|FastText
RF|0.5679347826086957|(0, 2, 150, 'log_loss')|FastText
RF|0.5625|(0, 2, 200, 'gini')|FastText
RF|0.5597826086956522|(0, 2, 200, 'entropy')|FastText
RF|0.5597826086956522|(0, 2, 200, 'log_loss')|FastText
RF|0.6766304347826086|(0, 5, 50, 'gini')|FastText
RF|0.6684782608695652|(0, 5, 50, 'entropy')|FastText
RF|0.6684782608695652|(0, 5, 50, 'log_loss')|FastText
RF|0.6684782608695652|(0, 5, 100, 'gini')|FastText
RF|0.6494565217391305|(0, 5, 100, 'entropy')|FastText
RF|0.6494565217391305|(0, 5, 100, 'log_loss')|FastText
RF|0.6684782608695652|(0, 5, 150, 'gini')|FastText
RF|0.6494565217391305|(0, 5, 150, 'entropy')|FastText
RF|0.6494565217391305|(0, 5, 150, 'log_loss')|FastText
RF|0.6793478260869565|(0, 5, 200, 'gini')|FastText
RF|0.6630434782608695|(0, 5, 200, 'entropy')|FastText
RF|0.6630434782608695|(0, 5, 200, 'log_loss')|FastText
RF|0.7065217391304348|(0, 10, 50, 'gini')|FastText
RF|0.6766304347826086|(0, 10, 50, 'entropy')|FastText
RF|0.6766304347826086|(0, 10, 50, 'log_loss')|FastText
RF|0.7092391304347826|(0, 10, 100, 'gini')|FastText
RF|0.6820652173913043|(0, 10, 100, 'entropy')|FastText
RF|0.6820652173913043|(0, 10, 100, 'log_loss')|FastText
RF|0.7038043478260869|(0, 10, 150, 'gini')|FastText
RF|0.6902173913043478|(0, 10, 150, 'entropy')|FastText
RF|0.6902173913043478|(0, 10, 150, 'log_loss')|FastText
RF|0.6956521739130435|(0, 10, 200, 'gini')|FastText
RF|0.6929347826086957|(0, 10, 200, 'entropy')|FastText
RF|0.6929347826086957|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5244565217391305|None|FastText
SVM|0.38858695652173914|(10, 0.01, 'linear')|FastText
