Model|Accuracy|Params|Embedding
Linear Regression|0.532394366197183|None|FastText
SVM|0.5070422535211268|(10, 0.01, 'linear')|FastText
RBF|0.5352112676056338|(1, 0.1, 'rbf')|FastText
RBF|0.7380281690140845|(1, 0.01, 'rbf')|FastText
RBF|0.7183098591549296|(1, 0.001, 'rbf')|FastText
RBF|0.5352112676056338|(10, 0.1, 'rbf')|FastText
RBF|0.7577464788732394|(10, 0.01, 'rbf')|FastText
RBF|0.7661971830985915|(10, 0.001, 'rbf')|FastText
RBF|0.5352112676056338|(100, 0.1, 'rbf')|FastText
RBF|0.7577464788732394|(100, 0.01, 'rbf')|FastText
RBF|0.7746478873239436|(100, 0.001, 'rbf')|FastText
RF|0.5352112676056338|(0, 1, 50, 'gini')|FastText
RF|0.5352112676056338|(0, 1, 50, 'entropy')|FastText
RF|0.5352112676056338|(0, 1, 50, 'log_loss')|FastText
RF|0.5352112676056338|(0, 1, 100, 'gini')|FastText
RF|0.5352112676056338|(0, 1, 100, 'entropy')|FastText
RF|0.5352112676056338|(0, 1, 100, 'log_loss')|FastText
RF|0.5352112676056338|(0, 1, 150, 'gini')|FastText
RF|0.5352112676056338|(0, 1, 150, 'entropy')|FastText
RF|0.5352112676056338|(0, 1, 150, 'log_loss')|FastText
RF|0.5352112676056338|(0, 1, 200, 'gini')|FastText
RF|0.5352112676056338|(0, 1, 200, 'entropy')|FastText
RF|0.5352112676056338|(0, 1, 200, 'log_loss')|FastText
RF|0.5802816901408451|(0, 2, 50, 'gini')|FastText
RF|0.5746478873239437|(0, 2, 50, 'entropy')|FastText
RF|0.5746478873239437|(0, 2, 50, 'log_loss')|FastText
RF|0.5887323943661972|(0, 2, 100, 'gini')|FastText
RF|0.5690140845070423|(0, 2, 100, 'entropy')|FastText
RF|0.5690140845070423|(0, 2, 100, 'log_loss')|FastText
RF|0.5746478873239437|(0, 2, 150, 'gini')|FastText
RF|0.5605633802816902|(0, 2, 150, 'entropy')|FastText
RF|0.5605633802816902|(0, 2, 150, 'log_loss')|FastText
RF|0.5690140845070423|(0, 2, 200, 'gini')|FastText
RF|0.5577464788732395|(0, 2, 200, 'entropy')|FastText
RF|0.5577464788732395|(0, 2, 200, 'log_loss')|FastText
RF|0.6957746478873239|(0, 5, 50, 'gini')|FastText
RF|0.7098591549295775|(0, 5, 50, 'entropy')|FastText
RF|0.7098591549295775|(0, 5, 50, 'log_loss')|FastText
RF|0.6929577464788732|(0, 5, 100, 'gini')|FastText
RF|0.6985915492957746|(0, 5, 100, 'entropy')|FastText
RF|0.6985915492957746|(0, 5, 100, 'log_loss')|FastText
RF|0.6901408450704225|(0, 5, 150, 'gini')|FastText
RF|0.6985915492957746|(0, 5, 150, 'entropy')|FastText
RF|0.6985915492957746|(0, 5, 150, 'log_loss')|FastText
RF|0.7014084507042253|(0, 5, 200, 'gini')|FastText
RF|0.6929577464788732|(0, 5, 200, 'entropy')|FastText
RF|0.6929577464788732|(0, 5, 200, 'log_loss')|FastText
RF|0.7070422535211267|(0, 10, 50, 'gini')|FastText
RF|0.6929577464788732|(0, 10, 50, 'entropy')|FastText
RF|0.6929577464788732|(0, 10, 50, 'log_loss')|FastText
RF|0.7183098591549296|(0, 10, 100, 'gini')|FastText
RF|0.6957746478873239|(0, 10, 100, 'entropy')|FastText
RF|0.6957746478873239|(0, 10, 100, 'log_loss')|FastText
RF|0.7098591549295775|(0, 10, 150, 'gini')|FastText
RF|0.704225352112676|(0, 10, 150, 'entropy')|FastText
RF|0.704225352112676|(0, 10, 150, 'log_loss')|FastText
RF|0.7183098591549296|(0, 10, 200, 'gini')|FastText
RF|0.7070422535211267|(0, 10, 200, 'entropy')|FastText
RF|0.7070422535211267|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5605633802816902|None|FastText
SVM|0.523943661971831|(10, 0.01, 'linear')|FastText
RBF|0.5492957746478874|(1, 0.1, 'rbf')|FastText
RBF|0.7408450704225352|(1, 0.01, 'rbf')|FastText
RBF|0.7408450704225352|(1, 0.001, 'rbf')|FastText
RBF|0.5492957746478874|(10, 0.1, 'rbf')|FastText
RBF|0.7295774647887324|(10, 0.01, 'rbf')|FastText
RBF|0.7774647887323943|(10, 0.001, 'rbf')|FastText
RBF|0.5492957746478874|(100, 0.1, 'rbf')|FastText
RBF|0.7295774647887324|(100, 0.01, 'rbf')|FastText
RBF|0.7211267605633803|(100, 0.001, 'rbf')|FastText
RF|0.5492957746478874|(0, 1, 50, 'gini')|FastText
RF|0.5492957746478874|(0, 1, 50, 'entropy')|FastText
RF|0.5492957746478874|(0, 1, 50, 'log_loss')|FastText
RF|0.5492957746478874|(0, 1, 100, 'gini')|FastText
RF|0.5492957746478874|(0, 1, 100, 'entropy')|FastText
RF|0.5492957746478874|(0, 1, 100, 'log_loss')|FastText
RF|0.5492957746478874|(0, 1, 150, 'gini')|FastText
RF|0.5492957746478874|(0, 1, 150, 'entropy')|FastText
RF|0.5492957746478874|(0, 1, 150, 'log_loss')|FastText
RF|0.5492957746478874|(0, 1, 200, 'gini')|FastText
RF|0.5492957746478874|(0, 1, 200, 'entropy')|FastText
RF|0.5492957746478874|(0, 1, 200, 'log_loss')|FastText
RF|0.5887323943661972|(0, 2, 50, 'gini')|FastText
RF|0.5887323943661972|(0, 2, 50, 'entropy')|FastText
RF|0.5887323943661972|(0, 2, 50, 'log_loss')|FastText
RF|0.5887323943661972|(0, 2, 100, 'gini')|FastText
RF|0.571830985915493|(0, 2, 100, 'entropy')|FastText
RF|0.571830985915493|(0, 2, 100, 'log_loss')|FastText
RF|0.6056338028169014|(0, 2, 150, 'gini')|FastText
RF|0.5859154929577465|(0, 2, 150, 'entropy')|FastText
RF|0.5859154929577465|(0, 2, 150, 'log_loss')|FastText
RF|0.6028169014084507|(0, 2, 200, 'gini')|FastText
RF|0.5802816901408451|(0, 2, 200, 'entropy')|FastText
RF|0.5802816901408451|(0, 2, 200, 'log_loss')|FastText
RF|0.6929577464788732|(0, 5, 50, 'gini')|FastText
RF|0.6929577464788732|(0, 5, 50, 'entropy')|FastText
RF|0.6929577464788732|(0, 5, 50, 'log_loss')|FastText
RF|0.7098591549295775|(0, 5, 100, 'gini')|FastText
RF|0.704225352112676|(0, 5, 100, 'entropy')|FastText
RF|0.704225352112676|(0, 5, 100, 'log_loss')|FastText
RF|0.7154929577464789|(0, 5, 150, 'gini')|FastText
RF|0.7070422535211267|(0, 5, 150, 'entropy')|FastText
RF|0.7070422535211267|(0, 5, 150, 'log_loss')|FastText
RF|0.7126760563380282|(0, 5, 200, 'gini')|FastText
RF|0.7070422535211267|(0, 5, 200, 'entropy')|FastText
RF|0.7070422535211267|(0, 5, 200, 'log_loss')|FastText
RF|0.7070422535211267|(0, 10, 50, 'gini')|FastText
RF|0.7267605633802817|(0, 10, 50, 'entropy')|FastText
RF|0.7267605633802817|(0, 10, 50, 'log_loss')|FastText
RF|0.7070422535211267|(0, 10, 100, 'gini')|FastText
RF|0.7211267605633803|(0, 10, 100, 'entropy')|FastText
RF|0.7211267605633803|(0, 10, 100, 'log_loss')|FastText
RF|0.7183098591549296|(0, 10, 150, 'gini')|FastText
RF|0.7323943661971831|(0, 10, 150, 'entropy')|FastText
RF|0.7323943661971831|(0, 10, 150, 'log_loss')|FastText
RF|0.7267605633802817|(0, 10, 200, 'gini')|FastText
RF|0.7352112676056338|(0, 10, 200, 'entropy')|FastText
RF|0.7352112676056338|(0, 10, 200, 'log_loss')|FastText
Linear Regression|0.5774647887323944|None|FastText
SVM|0.49014084507042255|(10, 0.01, 'linear')|FastText
RBF|0.5915492957746479|(1, 0.1, 'rbf')|FastText
RBF|0.752112676056338|(1, 0.01, 'rbf')|FastText
RBF|0.7436619718309859|(1, 0.001, 'rbf')|FastText
